dataset,model,budget,n_all,drop_all,n_unpadded,pct_unpadded,drop_unpadded
ucf101,timesformer,8,2020,0.0,1476,73.1,-0.54
ucf101,r3d_18,16,2020,5.99,482,23.9,-0.41
ucf101,mc3_18,16,2020,2.87,482,23.9,-0.21
ucf101,r2plus1d_18,16,2020,5.15,482,23.9,-0.21
ucf101,videomae,16,2020,3.47,482,23.9,1.45
ucf101,vivit,32,2020,5.25,26,1.3,0.0
ucf101,slowfast_r50,32,2020,15.45,26,1.3,0.0
ssv2,timesformer,8,3275,12.73,0,0.0,
ssv2,r3d_18,16,3275,28.06,0,0.0,
ssv2,mc3_18,16,3275,26.63,0,0.0,
ssv2,r2plus1d_18,16,3275,30.56,0,0.0,
ssv2,videomae,16,3275,34.44,0,0.0,
ssv2,vivit,32,3275,30.66,0,0.0,
ssv2,slowfast_r50,32,3275,43.02,0,0.0,
hmdb51,timesformer,8,885,3.95,170,19.2,1.18
hmdb51,r3d_18,16,885,21.13,42,4.7,4.76
hmdb51,mc3_18,16,885,9.72,42,4.7,0.0
hmdb51,r2plus1d_18,16,885,17.63,42,4.7,-7.14
hmdb51,videomae,16,885,20.23,42,4.7,-4.76
hmdb51,vivit,32,885,19.44,2,0.2,
hmdb51,slowfast_r50,32,885,37.4,2,0.2,
diving48,timesformer,8,743,2.02,323,43.5,-2.17
diving48,r3d_18,16,743,16.02,11,1.5,
diving48,mc3_18,16,743,12.38,11,1.5,
diving48,r2plus1d_18,16,743,18.84,11,1.5,
diving48,videomae,16,743,23.42,11,1.5,
diving48,vivit,32,743,36.34,0,0.0,
diving48,slowfast_r50,32,743,39.7,0,0.0,
finegym,timesformer,8,1600,36.38,96,6.0,-2.08
finegym,r3d_18,16,1600,60.75,12,0.8,
finegym,mc3_18,16,1600,63.37,12,0.8,
finegym,r2plus1d_18,16,1600,66.12,12,0.8,
finegym,videomae,16,1600,68.12,12,0.8,
finegym,vivit,32,1600,55.56,0,0.0,
finegym,slowfast_r50,32,1600,72.25,0,0.0,
autsl,timesformer,8,4418,16.0,1,0.0,
autsl,r3d_18,16,4418,68.47,0,0.0,
autsl,mc3_18,16,4418,55.55,0,0.0,
autsl,r2plus1d_18,16,4418,67.22,0,0.0,
autsl,videomae,16,4418,61.2,0,0.0,
autsl,vivit,32,4418,62.13,0,0.0,
autsl,slowfast_r50,32,4418,77.57,0,0.0,
driveact,timesformer,8,448,8.48,0,0.0,
driveact,r3d_18,16,448,23.88,0,0.0,
driveact,mc3_18,16,448,13.84,0,0.0,
driveact,r2plus1d_18,16,448,24.78,0,0.0,
driveact,videomae,16,448,40.85,0,0.0,
driveact,vivit,32,448,20.31,0,0.0,
driveact,slowfast_r50,32,448,33.71,0,0.0,
epic_kitchens,timesformer,8,1020,2.94,446,43.7,1.12
epic_kitchens,r3d_18,16,1020,12.75,188,18.4,0.0
epic_kitchens,mc3_18,16,1020,8.63,188,18.4,2.13
epic_kitchens,r2plus1d_18,16,1020,11.67,188,18.4,2.13
epic_kitchens,videomae,16,1020,10.78,188,18.4,0.53
epic_kitchens,vivit,32,1020,11.08,76,7.5,0.0
epic_kitchens,slowfast_r50,32,1020,18.53,76,7.5,-6.58
