Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.2064193228932094,-6.632188713206511,1.0883526861846872e-10,***,-0.6615670160251165
10% vs 50%,-0.3374686127856742,-12.027574005635927,4.0232691592859264e-28,***,-1.1997617361347317
10% vs 75%,-0.2769765408884063,-9.58075900340351,1.4829337610213322e-19,***,-0.9556896552892262
10% vs 100%,-0.3771013192595395,-13.868329072867692,9.954437573911984e-35,***,-1.3833787726398434
25% vs 50%,-0.13104928989246478,-5.084291390276541,5.844651966872064e-07,***,-0.5071628129292508
25% vs 75%,-0.07055721799519687,-2.6425924275089807,0.00856007627605724,ns,-0.2636010617967542
25% vs 100%,-0.17068199636633008,-6.874176271173254,2.8358074993880508e-11,***,-0.6857055008544877
50% vs 75%,0.06049207189726791,2.624041237794699,0.009023028148835422,ns,0.26175056330316415
50% vs 100%,-0.0396327064738653,-1.9001268247911012,0.058140388013842,ns,-0.18953942475176758
75% vs 100%,-0.1001247783711332,-4.553123574160959,7.091958084893224e-06,***,-0.45417832736773106
