resolution,coverage,stride,top1,n
96,10,1,0.086875,1600
96,10,2,0.068125,1600
96,10,4,0.055,1600
96,10,8,0.050625,1600
96,10,16,0.050625,1600
96,25,1,0.145625,1600
96,25,2,0.136875,1600
96,25,4,0.103125,1600
96,25,8,0.06375,1600
96,25,16,0.05375,1600
96,50,1,0.31125,1600
96,50,2,0.31875,1600
96,50,4,0.228125,1600
96,50,8,0.121875,1600
96,50,16,0.068125,1600
96,75,1,0.57875,1600
96,75,2,0.545,1600
96,75,4,0.3625,1600
96,75,8,0.169375,1600
96,75,16,0.09,1600
96,100,1,0.72625,1600
96,100,2,0.66,1600
96,100,4,0.460625,1600
96,100,8,0.19875,1600
96,100,16,0.11125,1600
