resolution,coverage,stride,top1,n
224,10,1,0.063125,1600
224,10,2,0.055625,1600
224,10,4,0.05,1600
224,10,8,0.046875,1600
224,10,16,0.0475,1600
224,25,1,0.16625,1600
224,25,2,0.14125,1600
224,25,4,0.094375,1600
224,25,8,0.05875,1600
224,25,16,0.046875,1600
224,50,1,0.45375,1600
224,50,2,0.35875,1600
224,50,4,0.24375,1600
224,50,8,0.135625,1600
224,50,16,0.076875,1600
224,75,1,0.645625,1600
224,75,2,0.549375,1600
224,75,4,0.36875,1600
224,75,8,0.225,1600
224,75,16,0.113125,1600
224,100,1,0.699375,1600
224,100,2,0.628125,1600
224,100,4,0.438125,1600
224,100,8,0.289375,1600
224,100,16,0.146875,1600
