resolution,coverage,stride,top1,n
112,10,1,0.048125,1600
112,10,2,0.04125,1600
112,10,4,0.03625,1600
112,10,8,0.035625,1600
112,10,16,0.035625,1600
112,25,1,0.113125,1600
112,25,2,0.085625,1600
112,25,4,0.05625,1600
112,25,8,0.04,1600
112,25,16,0.036875,1600
112,50,1,0.27,1600
112,50,2,0.19375,1600
112,50,4,0.135625,1600
112,50,8,0.0825,1600
112,50,16,0.04375,1600
112,75,1,0.399375,1600
112,75,2,0.28875,1600
112,75,4,0.1925,1600
112,75,8,0.115625,1600
112,75,16,0.074375,1600
112,100,1,0.408125,1600
112,100,2,0.3175,1600
112,100,4,0.219375,1600
112,100,8,0.14375,1600
112,100,16,0.09625,1600
