config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.7498868266183794,4418,15.997962879130828,r3d_18,autsl,covstride,16
cov100_s16,0.2661837935717519,4418,4.149388863739248,r3d_18,autsl,covstride,16
cov100_s2,0.7526029877772747,4418,15.994567677682209,r3d_18,autsl,covstride,16
cov100_s4,0.7338162064282481,4418,14.469443186962426,r3d_18,autsl,covstride,16
cov100_s8,0.6283386147578089,4418,7.836803983703033,r3d_18,autsl,covstride,16
cov10_s1,0.010864644635581712,4418,5.905387052965143,r3d_18,autsl,covstride,16
cov10_s16,0.0061113626075147125,4418,1.0,r3d_18,autsl,covstride,16
cov10_s2,0.007922136713444997,4418,3.1475780896333183,r3d_18,autsl,covstride,16
cov10_s4,0.006337709370755998,4418,1.8888637392485288,r3d_18,autsl,covstride,16
cov10_s8,0.0061113626075147125,4418,1.0167496604798552,r3d_18,autsl,covstride,16
cov25_s1,0.02693526482571299,4418,14.234947940244455,r3d_18,autsl,covstride,16
cov25_s16,0.007695789950203712,4418,1.2304210049796287,r3d_18,autsl,covstride,16
cov25_s2,0.028293345405160705,4418,7.589406971480308,r3d_18,autsl,covstride,16
cov25_s4,0.02240832956088728,4418,4.033952014486193,r3d_18,autsl,covstride,16
cov25_s8,0.01041195110909914,4418,2.231326392032594,r3d_18,autsl,covstride,16
cov50_s1,0.20778632865550023,4418,15.994567677682209,r3d_18,autsl,covstride,16
cov50_s16,0.040289723856948845,4418,2.2602987777274786,r3d_18,autsl,covstride,16
cov50_s2,0.19284744228157538,4418,14.310321412403802,r3d_18,autsl,covstride,16
cov50_s4,0.17926663648709823,4418,7.707107288365776,r3d_18,autsl,covstride,16
cov50_s8,0.1136260751471254,4418,4.086464463558171,r3d_18,autsl,covstride,16
cov75_s1,0.577636939791761,4418,15.997283838841104,r3d_18,autsl,covstride,16
cov75_s16,0.12177455862381167,4418,3.2206880941602534,r3d_18,autsl,covstride,16
cov75_s2,0.5574920778632866,4418,15.935264825712993,r3d_18,autsl,covstride,16
cov75_s4,0.5169760072430964,4418,11.416704391127206,r3d_18,autsl,covstride,16
cov75_s8,0.37483023992756903,4418,5.96650067904029,r3d_18,autsl,covstride,16
