config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.9643564356435643,2020,16.0,videomae,ucf101,covstride,16
cov100_s16,0.9326732673267327,2020,10.8,videomae,ucf101,covstride,16
cov100_s2,0.9613861386138614,2020,16.0,videomae,ucf101,covstride,16
cov100_s4,0.9618811881188118,2020,15.949009900990099,videomae,ucf101,covstride,16
cov100_s8,0.9569306930693069,2020,14.716336633663367,videomae,ucf101,covstride,16
cov10_s1,0.7752475247524753,2020,13.476732673267326,videomae,ucf101,covstride,16
cov10_s16,0.5727722772277227,2020,1.5603960396039604,videomae,ucf101,covstride,16
cov10_s2,0.7777227722772277,2020,8.921782178217821,videomae,ucf101,covstride,16
cov10_s4,0.750990099009901,2020,4.896534653465347,videomae,ucf101,covstride,16
cov10_s8,0.6871287128712872,2020,2.7163366336633663,videomae,ucf101,covstride,16
cov25_s1,0.8643564356435643,2020,15.938118811881187,videomae,ucf101,covstride,16
cov25_s16,0.7381188118811881,2020,3.263366336633663,videomae,ucf101,covstride,16
cov25_s2,0.8613861386138614,2020,14.634653465346535,videomae,ucf101,covstride,16
cov25_s4,0.8534653465346534,2020,10.70990099009901,videomae,ucf101,covstride,16
cov25_s8,0.8178217821782178,2020,6.037623762376238,videomae,ucf101,covstride,16
cov50_s1,0.9301980198019802,2020,16.0,videomae,ucf101,covstride,16
cov50_s16,0.8405940594059406,2020,6.070792079207921,videomae,ucf101,covstride,16
cov50_s2,0.9321782178217822,2020,15.941584158415841,videomae,ucf101,covstride,16
cov50_s4,0.9262376237623763,2020,14.675742574257425,videomae,ucf101,covstride,16
cov50_s8,0.9089108910891089,2020,10.761386138613862,videomae,ucf101,covstride,16
cov75_s1,0.9603960396039604,2020,16.0,videomae,ucf101,covstride,16
cov75_s16,0.9014851485148515,2020,8.648514851485148,videomae,ucf101,covstride,16
cov75_s2,0.9569306930693069,2020,15.995049504950495,videomae,ucf101,covstride,16
cov75_s4,0.9608910891089109,2020,15.725742574257426,videomae,ucf101,covstride,16
cov75_s8,0.9485148514851485,2020,13.337623762376237,videomae,ucf101,covstride,16
