resolution,coverage,stride,top1,n
48,10,1,0.059375,1600
48,10,2,0.04875,1600
48,10,4,0.043125,1600
48,10,8,0.04,1600
48,10,16,0.03875,1600
48,25,1,0.105,1600
48,25,2,0.0975,1600
48,25,4,0.07375,1600
48,25,8,0.045625,1600
48,25,16,0.0425,1600
48,50,1,0.27,1600
48,50,2,0.26375,1600
48,50,4,0.17,1600
48,50,8,0.09125,1600
48,50,16,0.054375,1600
48,75,1,0.460625,1600
48,75,2,0.410625,1600
48,75,4,0.28,1600
48,75,8,0.125625,1600
48,75,16,0.066875,1600
48,100,1,0.56375,1600
48,100,2,0.485,1600
48,100,4,0.336875,1600
48,100,8,0.154375,1600
48,100,16,0.0775,1600
