resolution,coverage,stride,top1,n
224,10,1,0.07375,1600
224,10,2,0.066875,1600
224,10,4,0.0575,1600
224,10,8,0.054375,1600
224,10,16,0.054375,1600
224,25,1,0.151875,1600
224,25,2,0.140625,1600
224,25,4,0.10625,1600
224,25,8,0.059375,1600
224,25,16,0.055,1600
224,50,1,0.336875,1600
224,50,2,0.363125,1600
224,50,4,0.23125,1600
224,50,8,0.1075,1600
224,50,16,0.06125,1600
224,75,1,0.614375,1600
224,75,2,0.540625,1600
224,75,4,0.335625,1600
224,75,8,0.1525,1600
224,75,16,0.080625,1600
224,100,1,0.760625,1600
224,100,2,0.686875,1600
224,100,4,0.448125,1600
224,100,8,0.19,1600
224,100,16,0.0925,1600
