resolution,coverage,stride,top1,n
112,10,1,0.084375,1600
112,10,2,0.075,1600
112,10,4,0.064375,1600
112,10,8,0.05625,1600
112,10,16,0.05625,1600
112,25,1,0.144375,1600
112,25,2,0.163125,1600
112,25,4,0.126875,1600
112,25,8,0.081875,1600
112,25,16,0.05875,1600
112,50,1,0.335,1600
112,50,2,0.3825,1600
112,50,4,0.270625,1600
112,50,8,0.150625,1600
112,50,16,0.0825,1600
112,75,1,0.625,1600
112,75,2,0.595,1600
112,75,4,0.39375,1600
112,75,8,0.208125,1600
112,75,16,0.114375,1600
112,100,1,0.768125,1600
112,100,2,0.721875,1600
112,100,4,0.5,1600
112,100,8,0.243125,1600
112,100,16,0.125625,1600
