model,dataset,res,acc
r3d_18,finegym,,
r3d_18,finegym,,
r3d_18,finegym,,
r3d_18,finegym,,
r3d_18,finegym,,
mc3_18,finegym,,
mc3_18,finegym,,
mc3_18,finegym,,
mc3_18,finegym,,
mc3_18,finegym,,
r2plus1d_18,finegym,,
r2plus1d_18,finegym,,
r2plus1d_18,finegym,,
r2plus1d_18,finegym,,
r2plus1d_18,finegym,,
slowfast_r50,finegym,,
slowfast_r50,finegym,,
slowfast_r50,finegym,,
slowfast_r50,finegym,,
slowfast_r50,finegym,,
timesformer,finegym,,
timesformer,finegym,,
timesformer,finegym,,
timesformer,finegym,,
timesformer,finegym,,
vivit,finegym,,
vivit,finegym,,
vivit,finegym,,
vivit,finegym,,
vivit,finegym,,
videomae,finegym,,
videomae,finegym,,
videomae,finegym,,
videomae,finegym,,
videomae,finegym,,
videomamba,finegym,,
videomamba,finegym,,
videomamba,finegym,,
videomamba,finegym,,
videomamba,finegym,,
