coverage,stride,top1,n
10,1,0.2366071428571428,448
10,2,0.2321428571428571,448
10,4,0.2433035714285714,448
10,8,0.2232142857142857,448
10,16,0.2232142857142857,448
25,1,0.2544642857142857,448
25,2,0.2633928571428571,448
25,4,0.265625,448
25,8,0.25,448
25,16,0.2232142857142857,448
50,1,0.3125,448
50,2,0.3214285714285714,448
50,4,0.3080357142857143,448
50,8,0.2857142857142857,448
50,16,0.2611607142857143,448
75,1,0.3258928571428571,448
75,2,0.328125,448
75,4,0.3303571428571428,448
75,8,0.3058035714285714,448
75,16,0.2767857142857143,448
100,1,0.3258928571428571,448
100,2,0.3348214285714285,448
100,4,0.3482142857142857,448
100,8,0.3236607142857143,448
100,16,0.296875,448
