resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.0375,1600,slowfast_r50,finegym
48,10,2,0.031875,1600,slowfast_r50,finegym
48,10,4,0.024375,1600,slowfast_r50,finegym
48,10,8,0.023125,1600,slowfast_r50,finegym
48,10,16,0.023125,1600,slowfast_r50,finegym
48,25,1,0.085,1600,slowfast_r50,finegym
48,25,2,0.066875,1600,slowfast_r50,finegym
48,25,4,0.03375,1600,slowfast_r50,finegym
48,25,8,0.02375,1600,slowfast_r50,finegym
48,25,16,0.02375,1600,slowfast_r50,finegym
48,50,1,0.229375,1600,slowfast_r50,finegym
48,50,2,0.151875,1600,slowfast_r50,finegym
48,50,4,0.08,1600,slowfast_r50,finegym
48,50,8,0.0475,1600,slowfast_r50,finegym
48,50,16,0.029375,1600,slowfast_r50,finegym
48,75,1,0.32125,1600,slowfast_r50,finegym
48,75,2,0.214375,1600,slowfast_r50,finegym
48,75,4,0.10125,1600,slowfast_r50,finegym
48,75,8,0.056875,1600,slowfast_r50,finegym
48,75,16,0.03875,1600,slowfast_r50,finegym
48,100,1,0.361875,1600,slowfast_r50,finegym
48,100,2,0.240625,1600,slowfast_r50,finegym
48,100,4,0.116875,1600,slowfast_r50,finegym
48,100,8,0.063125,1600,slowfast_r50,finegym
48,100,16,0.04375,1600,slowfast_r50,finegym
96,10,1,0.065,1600,slowfast_r50,finegym
96,10,2,0.0625,1600,slowfast_r50,finegym
96,10,4,0.055,1600,slowfast_r50,finegym
96,10,8,0.050625,1600,slowfast_r50,finegym
96,10,16,0.050625,1600,slowfast_r50,finegym
96,25,1,0.145,1600,slowfast_r50,finegym
96,25,2,0.11875,1600,slowfast_r50,finegym
96,25,4,0.078125,1600,slowfast_r50,finegym
96,25,8,0.064375,1600,slowfast_r50,finegym
96,25,16,0.050625,1600,slowfast_r50,finegym
96,50,1,0.4,1600,slowfast_r50,finegym
96,50,2,0.28375,1600,slowfast_r50,finegym
96,50,4,0.135,1600,slowfast_r50,finegym
96,50,8,0.0825,1600,slowfast_r50,finegym
96,50,16,0.065,1600,slowfast_r50,finegym
96,75,1,0.5625,1600,slowfast_r50,finegym
96,75,2,0.41375,1600,slowfast_r50,finegym
96,75,4,0.168125,1600,slowfast_r50,finegym
96,75,8,0.078125,1600,slowfast_r50,finegym
96,75,16,0.0775,1600,slowfast_r50,finegym
96,100,1,0.671875,1600,slowfast_r50,finegym
96,100,2,0.478125,1600,slowfast_r50,finegym
96,100,4,0.185625,1600,slowfast_r50,finegym
96,100,8,0.085,1600,slowfast_r50,finegym
96,100,16,0.079375,1600,slowfast_r50,finegym
112,10,1,0.070625,1600,slowfast_r50,finegym
112,10,2,0.064375,1600,slowfast_r50,finegym
112,10,4,0.0575,1600,slowfast_r50,finegym
112,10,8,0.05,1600,slowfast_r50,finegym
112,10,16,0.04875,1600,slowfast_r50,finegym
112,25,1,0.148125,1600,slowfast_r50,finegym
112,25,2,0.14875,1600,slowfast_r50,finegym
112,25,4,0.095625,1600,slowfast_r50,finegym
112,25,8,0.064375,1600,slowfast_r50,finegym
112,25,16,0.050625,1600,slowfast_r50,finegym
112,50,1,0.440625,1600,slowfast_r50,finegym
112,50,2,0.294375,1600,slowfast_r50,finegym
112,50,4,0.13875,1600,slowfast_r50,finegym
112,50,8,0.078125,1600,slowfast_r50,finegym
112,50,16,0.059375,1600,slowfast_r50,finegym
112,75,1,0.60375,1600,slowfast_r50,finegym
112,75,2,0.408125,1600,slowfast_r50,finegym
112,75,4,0.179375,1600,slowfast_r50,finegym
112,75,8,0.091875,1600,slowfast_r50,finegym
112,75,16,0.064375,1600,slowfast_r50,finegym
112,100,1,0.695625,1600,slowfast_r50,finegym
112,100,2,0.49,1600,slowfast_r50,finegym
112,100,4,0.204375,1600,slowfast_r50,finegym
112,100,8,0.0975,1600,slowfast_r50,finegym
112,100,16,0.08125,1600,slowfast_r50,finegym
160,10,1,0.061875,1600,slowfast_r50,finegym
160,10,2,0.05875,1600,slowfast_r50,finegym
160,10,4,0.061875,1600,slowfast_r50,finegym
160,10,8,0.058125,1600,slowfast_r50,finegym
160,10,16,0.055625,1600,slowfast_r50,finegym
160,25,1,0.15,1600,slowfast_r50,finegym
160,25,2,0.13375,1600,slowfast_r50,finegym
160,25,4,0.09625,1600,slowfast_r50,finegym
160,25,8,0.075,1600,slowfast_r50,finegym
160,25,16,0.063125,1600,slowfast_r50,finegym
160,50,1,0.48875,1600,slowfast_r50,finegym
160,50,2,0.338125,1600,slowfast_r50,finegym
160,50,4,0.156875,1600,slowfast_r50,finegym
160,50,8,0.098125,1600,slowfast_r50,finegym
160,50,16,0.068125,1600,slowfast_r50,finegym
160,75,1,0.655625,1600,slowfast_r50,finegym
160,75,2,0.48375,1600,slowfast_r50,finegym
160,75,4,0.1975,1600,slowfast_r50,finegym
160,75,8,0.1,1600,slowfast_r50,finegym
160,75,16,0.071875,1600,slowfast_r50,finegym
160,100,1,0.7625,1600,slowfast_r50,finegym
160,100,2,0.5675,1600,slowfast_r50,finegym
160,100,4,0.230625,1600,slowfast_r50,finegym
160,100,8,0.09875,1600,slowfast_r50,finegym
160,100,16,0.075,1600,slowfast_r50,finegym
224,10,1,0.076875,1600,slowfast_r50,finegym
224,10,2,0.061875,1600,slowfast_r50,finegym
224,10,4,0.05875,1600,slowfast_r50,finegym
224,10,8,0.054375,1600,slowfast_r50,finegym
224,10,16,0.051875,1600,slowfast_r50,finegym
224,25,1,0.186875,1600,slowfast_r50,finegym
224,25,2,0.158125,1600,slowfast_r50,finegym
224,25,4,0.089375,1600,slowfast_r50,finegym
224,25,8,0.065,1600,slowfast_r50,finegym
224,25,16,0.058125,1600,slowfast_r50,finegym
224,50,1,0.508125,1600,slowfast_r50,finegym
224,50,2,0.325,1600,slowfast_r50,finegym
224,50,4,0.1375,1600,slowfast_r50,finegym
224,50,8,0.0875,1600,slowfast_r50,finegym
224,50,16,0.06125,1600,slowfast_r50,finegym
224,75,1,0.681875,1600,slowfast_r50,finegym
224,75,2,0.460625,1600,slowfast_r50,finegym
224,75,4,0.18625,1600,slowfast_r50,finegym
224,75,8,0.084375,1600,slowfast_r50,finegym
224,75,16,0.065625,1600,slowfast_r50,finegym
224,100,1,0.781875,1600,slowfast_r50,finegym
224,100,2,0.57625,1600,slowfast_r50,finegym
224,100,4,0.23,1600,slowfast_r50,finegym
224,100,8,0.08,1600,slowfast_r50,finegym
224,100,16,0.066875,1600,slowfast_r50,finegym
