model,dataset,k_low,k_high,best_tau,accuracy,avg_frames,delta_acc,fixed_low,fixed_high
R3D-18,somethingv2,4,8,0.495,0.1447,5.98,0.0467,0.098,0.1969
R3D-18,somethingv2,4,16,0.646,0.2907,11.93,0.0937,0.098,0.3713
R3D-18,somethingv2,4,32,0.192,0.1176,5.69,0.0195,0.098,0.3692
R3D-18,somethingv2,8,16,0.586,0.2983,11.95,0.1014,0.1969,0.3713
R3D-18,somethingv2,8,32,0.313,0.2318,11.94,0.0348,0.1969,0.3692
R3D-18,somethingv2,16,32,0.758,0.3725,24.18,0.0034,0.3713,0.3692
R3D-18,somethingv2,4,32,"[np.float64(0.7), np.float64(0.9), np.float64(0.1)]",0.2892,11.7,0.0922,0.098,0.3692
MC3-18,somethingv2,4,8,0.515,0.1426,5.97,0.0608,0.0818,0.1884
MC3-18,somethingv2,4,16,0.697,0.2595,11.89,0.0711,0.0818,0.3359
MC3-18,somethingv2,4,32,0.182,0.0998,5.82,0.018,0.0818,0.3447
MC3-18,somethingv2,8,16,0.475,0.2766,11.99,0.0882,0.1884,0.3359
MC3-18,somethingv2,8,32,0.232,0.2208,11.74,0.0324,0.1884,0.3447
MC3-18,somethingv2,16,32,0.535,0.345,23.23,0.0092,0.3359,0.3447
MC3-18,somethingv2,4,32,"[np.float64(0.9), np.float64(0.5), np.float64(0.1)]",0.2678,11.4,0.0794,0.0818,0.3447
R2plus1D-18,somethingv2,4,8,0.576,0.1939,5.99,0.0681,0.1258,0.2434
R2plus1D-18,somethingv2,4,16,0.747,0.3374,11.94,0.094,0.1258,0.4256
R2plus1D-18,somethingv2,4,32,0.222,0.1493,5.93,0.0235,0.1258,0.4214
R2plus1D-18,somethingv2,8,16,0.657,0.3588,11.99,0.1154,0.2434,0.4256
R2plus1D-18,somethingv2,8,32,0.343,0.2843,11.99,0.0409,0.2434,0.4214
R2plus1D-18,somethingv2,16,32,0.475,0.4333,19.02,0.0076,0.4256,0.4214
R2plus1D-18,somethingv2,4,32,"[np.float64(0.9), np.float64(0.7), np.float64(0.3)]",0.3417,11.73,0.0983,0.1258,0.4214
TimeSformer,somethingv2,4,8,0.727,0.3887,5.98,0.0702,0.3185,0.4229
TimeSformer,somethingv2,4,16,0.354,0.3395,5.83,0.0211,0.3185,0.4128
TimeSformer,somethingv2,4,32,0.253,0.3276,5.88,0.0092,0.3185,0.4171
TimeSformer,somethingv2,8,16,0.869,0.4168,12.31,0.004,0.4229,0.4128
TimeSformer,somethingv2,8,32,0.596,0.4229,15.25,0.0101,0.4229,0.4171
TimeSformer,somethingv2,16,32,0.525,0.4186,19.59,0.0058,0.4128,0.4171
TimeSformer,somethingv2,4,32,"[np.float64(0.7), np.float64(0.1), np.float64(0.1)]",0.3847,5.89,0.0663,0.3185,0.4171
ViViT,somethingv2,4,8,0.535,0.1347,5.99,0.0507,0.084,0.175
ViViT,somethingv2,4,16,0.687,0.2321,11.92,0.0571,0.084,0.3053
ViViT,somethingv2,4,32,0.192,0.1111,5.94,0.0272,0.084,0.3832
ViViT,somethingv2,8,16,0.525,0.2498,11.93,0.0748,0.175,0.3053
ViViT,somethingv2,8,32,0.273,0.2186,11.99,0.0437,0.175,0.3832
ViViT,somethingv2,16,32,0.606,0.3631,23.83,0.0577,0.3053,0.3832
ViViT,somethingv2,4,32,"[np.float64(0.7), np.float64(0.9), np.float64(0.1)]",0.2321,11.44,0.0571,0.084,0.3832
SlowFast,somethingv2,4,8,0.293,0.1066,5.95,0.0409,0.0656,0.1521
SlowFast,somethingv2,4,16,0.424,0.2437,11.96,0.0916,0.0656,0.3334
SlowFast,somethingv2,4,32,0.465,0.3744,23.85,0.0409,0.0656,0.495
SlowFast,somethingv2,8,16,0.364,0.2528,11.94,0.1008,0.1521,0.3334
SlowFast,somethingv2,8,32,0.495,0.407,23.93,0.0736,0.1521,0.495
SlowFast,somethingv2,16,32,0.535,0.4342,23.96,0.1008,0.3334,0.495
SlowFast,somethingv2,4,32,"[np.float64(0.5), np.float64(0.5), np.float64(0.1)]",0.2473,11.66,0.0953,0.0656,0.495
VideoMAE,somethingv2,4,8,0.414,0.324,5.99,0.1136,0.2104,0.3948
VideoMAE,somethingv2,4,16,0.182,0.2745,5.96,0.0641,0.2104,0.5234
VideoMAE,somethingv2,4,32,0.121,0.2321,5.79,0.0217,0.2104,0.5191
VideoMAE,somethingv2,8,16,0.606,0.4898,11.96,0.095,0.3948,0.5234
VideoMAE,somethingv2,8,32,0.293,0.4366,11.82,0.0418,0.3948,0.5191
VideoMAE,somethingv2,16,32,0.384,0.5304,18.22,0.007,0.5234,0.5191
VideoMAE,somethingv2,4,32,"[np.float64(0.3), np.float64(0.1), np.float64(0.3)]",0.2971,5.44,0.0867,0.2104,0.5191
R2plus1D-18,ucf101,4,8,0.818,0.8059,5.95,0.1059,0.7,0.8163
R2plus1D-18,ucf101,4,16,0.283,0.7767,5.94,0.0767,0.7,0.8856
R2plus1D-18,ucf101,4,32,0.182,0.7401,5.93,0.0401,0.7,0.8901
R2plus1D-18,ucf101,8,16,0.96,0.8847,11.64,0.0683,0.8163,0.8856
R2plus1D-18,ucf101,8,32,0.485,0.8649,11.94,0.0485,0.8163,0.8901
R2plus1D-18,ucf101,16,32,0.535,0.8926,17.39,0.0069,0.8856,0.8901
R2plus1D-18,ucf101,4,32,"[np.float64(0.5), np.float64(0.3), np.float64(0.3)]",0.804,5.97,0.104,0.7,0.8901
SlowFast,ucf101,4,8,0.535,0.6396,5.97,0.1386,0.501,0.6624
SlowFast,ucf101,4,16,0.838,0.798,12.0,0.1356,0.501,0.8129
SlowFast,ucf101,4,32,0.131,0.55,5.87,0.049,0.501,0.8757
SlowFast,ucf101,8,16,0.818,0.803,11.98,0.1406,0.6624,0.8129
SlowFast,ucf101,8,32,0.283,0.7475,11.9,0.0851,0.6624,0.8757
SlowFast,ucf101,16,32,0.99,0.8743,23.6,0.0614,0.8129,0.8757
SlowFast,ucf101,4,32,"[np.float64(0.9), np.float64(0.9), np.float64(0.1)]",0.8,11.23,0.1376,0.501,0.8757
VideoMAE,ucf101,4,8,0.737,0.9144,5.94,0.1,0.8144,0.9139
VideoMAE,ucf101,4,16,0.232,0.8955,5.91,0.0812,0.8144,0.9545
VideoMAE,ucf101,4,32,0.121,0.8465,5.68,0.0322,0.8144,0.9554
VideoMAE,ucf101,8,16,0.929,0.9545,11.65,0.0406,0.9139,0.9545
VideoMAE,ucf101,8,32,0.505,0.9495,11.72,0.0356,0.9139,0.9554
VideoMAE,ucf101,16,32,0.505,0.9564,16.9,0.002,0.9545,0.9554
VideoMAE,ucf101,4,32,"[np.float64(0.7), np.float64(0.1), np.float64(0.1)]",0.9173,5.99,0.103,0.8144,0.9554
R2plus1D-18,hmdb51,4,8,0.535,0.5831,5.97,0.1209,0.4621,0.6316
R2plus1D-18,hmdb51,4,16,0.242,0.5277,5.98,0.0655,0.4621,0.7311
R2plus1D-18,hmdb51,4,32,0.162,0.4972,5.99,0.035,0.4621,0.7458
R2plus1D-18,hmdb51,8,16,0.798,0.7175,11.84,0.0859,0.6316,0.7311
R2plus1D-18,hmdb51,8,32,0.374,0.6757,11.91,0.0441,0.6316,0.7458
R2plus1D-18,hmdb51,16,32,0.727,0.7503,20.74,0.0192,0.7311,0.7458
R2plus1D-18,hmdb51,4,32,"[np.float64(0.5), np.float64(0.1), np.float64(0.1)]",0.5763,5.85,0.1141,0.4621,0.7458
SlowFast,hmdb51,4,8,0.424,0.4237,5.98,0.0723,0.3514,0.4475
SlowFast,hmdb51,4,16,0.737,0.6056,11.93,0.1582,0.3514,0.6508
SlowFast,hmdb51,4,32,0.838,0.7299,23.96,0.0791,0.3514,0.7932
SlowFast,hmdb51,8,16,0.636,0.5944,11.95,0.1469,0.4475,0.6508
SlowFast,hmdb51,8,32,0.889,0.7503,23.89,0.0994,0.4475,0.7932
SlowFast,hmdb51,16,32,0.909,0.7853,23.92,0.1345,0.6508,0.7932
SlowFast,hmdb51,4,32,"[np.float64(0.7), np.float64(0.7), np.float64(0.3)]",0.6124,11.77,0.165,0.3514,0.7932
VideoMAE,hmdb51,4,8,0.414,0.6983,5.97,0.1831,0.5153,0.7356
VideoMAE,hmdb51,4,16,0.172,0.6102,5.88,0.0949,0.5153,0.8395
VideoMAE,hmdb51,4,32,0.121,0.5548,5.68,0.0395,0.5153,0.8441
VideoMAE,hmdb51,8,16,0.697,0.8328,11.7,0.0972,0.7356,0.8395
VideoMAE,hmdb51,8,32,0.333,0.7797,11.85,0.0441,0.7356,0.8441
VideoMAE,hmdb51,16,32,0.616,0.8508,19.62,0.0113,0.8395,0.8441
