coverage,stride,top1,n
10,1,0.0056497175141242,177
10,2,0.0056497175141242,177
10,4,0.0056497175141242,177
10,8,0.0056497175141242,177
10,16,0.0056497175141242,177
25,1,0.0903954802259887,177
25,2,0.0564971751412429,177
25,4,0.0169491525423728,177
25,8,0.0056497175141242,177
25,16,0.0056497175141242,177
50,1,0.1581920903954802,177
50,2,0.096045197740113,177
50,4,0.0564971751412429,177
50,8,0.0282485875706214,177
50,16,0.0056497175141242,177
75,1,0.2146892655367231,177
75,2,0.1807909604519774,177
75,4,0.1242937853107344,177
75,8,0.03954802259887,177
75,16,0.0169491525423728,177
100,1,0.231638418079096,177
100,2,0.2203389830508474,177
100,4,0.1468926553672316,177
100,8,0.0790960451977401,177
100,16,0.0338983050847457,177
