model,dataset,stride_a,stride_b,acc_a,acc_b,diff_pp,abs_diff_pp
r3d_18,ucf101,1,2,81.23762376237624,81.28712871287128,-0.04950495049503845,0.04950495049503845
r3d_18,ucf101,1,4,81.23762376237624,81.63366336633663,-0.3960396039603853,0.3960396039603853
r3d_18,ucf101,1,8,81.23762376237624,80.6930693069307,0.544554455445545,0.544554455445545
r3d_18,ucf101,1,16,81.23762376237624,75.24752475247524,5.990099009900995,5.990099009900995
r3d_18,ucf101,2,4,81.28712871287128,81.63366336633663,-0.34653465346534684,0.34653465346534684
r3d_18,ucf101,2,8,81.28712871287128,80.6930693069307,0.5940594059405835,0.5940594059405835
r3d_18,ucf101,2,16,81.28712871287128,75.24752475247524,6.039603960396034,6.039603960396034
r3d_18,ucf101,4,8,81.63366336633663,80.6930693069307,0.9405940594059303,0.9405940594059303
r3d_18,ucf101,4,16,81.63366336633663,75.24752475247524,6.38613861386138,6.38613861386138
r3d_18,ucf101,8,16,80.6930693069307,75.24752475247524,5.44554455445545,5.44554455445545
r3d_18,ssv2,1,2,37.12977099236641,37.12629652226967,0.003474470096742621,0.003474470096742621
r3d_18,ssv2,1,4,37.12977099236641,32.420924574209245,4.708846418157164,4.708846418157164
r3d_18,ssv2,1,8,37.12977099236641,16.95480740066727,20.17496359169914,20.17496359169914
r3d_18,ssv2,1,16,37.12977099236641,8.94357743097239,28.186193561394024,28.186193561394024
r3d_18,ssv2,2,4,37.12629652226967,32.420924574209245,4.705371948060422,4.705371948060422
r3d_18,ssv2,2,8,37.12629652226967,16.95480740066727,20.1714891216024,20.1714891216024
r3d_18,ssv2,2,16,37.12629652226967,8.94357743097239,28.18271909129728,28.18271909129728
r3d_18,ssv2,4,8,32.420924574209245,16.95480740066727,15.466117173541976,15.466117173541976
r3d_18,ssv2,4,16,32.420924574209245,8.94357743097239,23.47734714323686,23.47734714323686
r3d_18,ssv2,8,16,16.95480740066727,8.94357743097239,8.011229969694881,8.011229969694881
r3d_18,hmdb51,1,2,80.33898305084746,79.2090395480226,1.1299435028248594,1.1299435028248594
r3d_18,hmdb51,1,4,80.33898305084746,78.30508474576271,2.033898305084747,2.033898305084747
r3d_18,hmdb51,1,8,80.33898305084746,70.28248587570621,10.056497175141244,10.056497175141244
r3d_18,hmdb51,1,16,80.33898305084746,59.2090395480226,21.129943502824855,21.129943502824855
r3d_18,hmdb51,2,4,79.2090395480226,78.30508474576271,0.9039548022598876,0.9039548022598876
r3d_18,hmdb51,2,8,79.2090395480226,70.28248587570621,8.926553672316384,8.926553672316384
r3d_18,hmdb51,2,16,79.2090395480226,59.2090395480226,19.999999999999996,19.999999999999996
r3d_18,hmdb51,4,8,78.30508474576271,70.28248587570621,8.022598870056497,8.022598870056497
r3d_18,hmdb51,4,16,78.30508474576271,59.2090395480226,19.096045197740107,19.096045197740107
r3d_18,hmdb51,8,16,70.28248587570621,59.2090395480226,11.073446327683612,11.073446327683612
r3d_18,diving48,1,2,28.802153432032302,27.725437415881558,1.0767160161507416,1.0767160161507416
r3d_18,diving48,1,4,28.802153432032302,24.62987886944818,4.172274562584121,4.172274562584121
r3d_18,diving48,1,8,28.802153432032302,22.88021534320323,5.921938088829071,5.921938088829071
r3d_18,diving48,1,16,28.802153432032302,12.78600269179004,16.01615074024226,16.01615074024226
r3d_18,diving48,2,4,27.725437415881558,24.62987886944818,3.09555854643338,3.09555854643338
r3d_18,diving48,2,8,27.725437415881558,22.88021534320323,4.845222072678329,4.845222072678329
r3d_18,diving48,2,16,27.725437415881558,12.78600269179004,14.93943472409152,14.93943472409152
r3d_18,diving48,4,8,24.62987886944818,22.88021534320323,1.749663526244949,1.749663526244949
r3d_18,diving48,4,16,24.62987886944818,12.78600269179004,11.843876177658139,11.843876177658139
r3d_18,diving48,8,16,22.88021534320323,12.78600269179004,10.094212651413189,10.094212651413189
r3d_18,autsl,1,2,74.98868266183794,75.26029877772747,-0.27161611588953916,0.27161611588953916
r3d_18,autsl,1,4,74.98868266183794,68.03983703033046,6.9488456315074725,6.9488456315074725
r3d_18,autsl,1,8,74.98868266183794,27.161611588954273,47.82707107288366,47.82707107288366
r3d_18,autsl,1,16,74.98868266183794,6.518786781349021,68.46989588048892,68.46989588048892
r3d_18,autsl,2,4,75.26029877772747,68.03983703033046,7.220461747397011,7.220461747397011
r3d_18,autsl,2,8,75.26029877772747,27.161611588954273,48.098687188773205,48.098687188773205
r3d_18,autsl,2,16,75.26029877772747,6.518786781349021,68.74151199637846,68.74151199637846
r3d_18,autsl,4,8,68.03983703033046,27.161611588954273,40.878225441376195,40.878225441376195
r3d_18,autsl,4,16,68.03983703033046,6.518786781349021,61.521050248981446,61.521050248981446
r3d_18,autsl,8,16,27.161611588954273,6.518786781349021,20.64282480760525,20.64282480760525
r3d_18,driveact,1,2,68.30357142857143,66.51785714285714,1.7857142857142905,1.7857142857142905
r3d_18,driveact,1,4,68.30357142857143,58.92857142857143,9.375,9.375
r3d_18,driveact,1,8,68.30357142857143,49.33035714285714,18.973214285714292,18.973214285714292
r3d_18,driveact,1,16,68.30357142857143,44.41964285714285,23.88392857142858,23.88392857142858
r3d_18,driveact,2,4,66.51785714285714,58.92857142857143,7.58928571428571,7.58928571428571
r3d_18,driveact,2,8,66.51785714285714,49.33035714285714,17.1875,17.1875
r3d_18,driveact,2,16,66.51785714285714,44.41964285714285,22.098214285714292,22.098214285714292
r3d_18,driveact,4,8,58.92857142857143,49.33035714285714,9.59821428571429,9.59821428571429
r3d_18,driveact,4,16,58.92857142857143,44.41964285714285,14.50892857142858,14.50892857142858
r3d_18,driveact,8,16,49.33035714285714,44.41964285714285,4.91071428571429,4.91071428571429
r3d_18,epic_kitchens,1,2,37.15686274509804,36.47058823529411,0.6862745098039302,0.6862745098039302
r3d_18,epic_kitchens,1,4,37.15686274509804,35.68627450980392,1.470588235294118,1.470588235294118
r3d_18,epic_kitchens,1,8,37.15686274509804,30.0,7.156862745098041,7.156862745098041
r3d_18,epic_kitchens,1,16,37.15686274509804,24.411764705882348,12.74509803921569,12.74509803921569
r3d_18,epic_kitchens,2,4,36.47058823529411,35.68627450980392,0.7843137254901877,0.7843137254901877
r3d_18,epic_kitchens,2,8,36.47058823529411,30.0,6.4705882352941115,6.4705882352941115
r3d_18,epic_kitchens,2,16,36.47058823529411,24.411764705882348,12.058823529411761,12.058823529411761
r3d_18,epic_kitchens,4,8,35.68627450980392,30.0,5.686274509803924,5.686274509803924
r3d_18,epic_kitchens,4,16,35.68627450980392,24.411764705882348,11.274509803921573,11.274509803921573
r3d_18,epic_kitchens,8,16,30.0,24.411764705882348,5.588235294117649,5.588235294117649
r3d_18,finegym,1,2,71.9375,67.875,4.062500000000002,4.062500000000002
r3d_18,finegym,1,4,71.9375,45.875,26.0625,26.0625
r3d_18,finegym,1,8,71.9375,19.75,52.1875,52.1875
r3d_18,finegym,1,16,71.9375,11.1875,60.74999999999999,60.74999999999999
r3d_18,finegym,2,4,67.875,45.875,21.999999999999996,21.999999999999996
r3d_18,finegym,2,8,67.875,19.75,48.12499999999999,48.12499999999999
r3d_18,finegym,2,16,67.875,11.1875,56.6875,56.6875
r3d_18,finegym,4,8,45.875,19.75,26.125,26.125
r3d_18,finegym,4,16,45.875,11.1875,34.6875,34.6875
r3d_18,finegym,8,16,19.75,11.1875,8.5625,8.5625
mc3_18,ucf101,1,2,85.39603960396039,85.29702970297029,0.0990099009900991,0.0990099009900991
mc3_18,ucf101,1,4,85.39603960396039,85.34653465346534,0.04950495049504955,0.04950495049504955
mc3_18,ucf101,1,8,85.39603960396039,85.14851485148515,0.24752475247524774,0.24752475247524774
mc3_18,ucf101,1,16,85.39603960396039,82.52475247524752,2.871287128712874,2.871287128712874
mc3_18,ucf101,2,4,85.29702970297029,85.34653465346534,-0.04950495049504955,0.04950495049504955
mc3_18,ucf101,2,8,85.29702970297029,85.14851485148515,0.14851485148514865,0.14851485148514865
mc3_18,ucf101,2,16,85.29702970297029,82.52475247524752,2.7722772277227747,2.7722772277227747
mc3_18,ucf101,4,8,85.34653465346534,85.14851485148515,0.1980198019801982,0.1980198019801982
mc3_18,ucf101,4,16,85.34653465346534,82.52475247524752,2.8217821782178243,2.8217821782178243
