config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.8045197740112995,885,31.924293785310734,vivit,hmdb51,covstride,32
cov100_s16,0.6576271186440678,885,6.392090395480226,vivit,hmdb51,covstride,32
cov100_s2,0.7988700564971751,885,29.563841807909604,vivit,hmdb51,covstride,32
cov100_s4,0.7864406779661017,885,20.654237288135594,vivit,hmdb51,covstride,32
cov100_s8,0.7446327683615819,885,11.875706214689265,vivit,hmdb51,covstride,32
cov10_s1,0.4711864406779661,885,9.413559322033898,vivit,hmdb51,covstride,32
cov10_s16,0.3231638418079096,885,1.1288135593220339,vivit,hmdb51,covstride,32
cov10_s2,0.45084745762711864,885,4.996610169491525,vivit,hmdb51,covstride,32
cov10_s4,0.4248587570621469,885,2.7073446327683617,vivit,hmdb51,covstride,32
cov10_s8,0.3581920903954802,885,1.528813559322034,vivit,hmdb51,covstride,32
cov25_s1,0.6033898305084746,885,20.384180790960453,vivit,hmdb51,covstride,32
cov25_s16,0.43389830508474575,885,2.016949152542373,vivit,hmdb51,covstride,32
cov25_s2,0.5887005649717514,885,11.662146892655366,vivit,hmdb51,covstride,32
cov25_s4,0.5502824858757062,885,6.2531073446327685,vivit,hmdb51,covstride,32
cov25_s8,0.4937853107344633,885,3.4847457627118645,vivit,hmdb51,covstride,32
cov50_s1,0.7209039548022599,885,29.46779661016949,vivit,hmdb51,covstride,32
cov50_s16,0.5627118644067797,885,3.5096045197740113,vivit,hmdb51,covstride,32
cov50_s2,0.7163841807909604,885,20.46553672316384,vivit,hmdb51,covstride,32
cov50_s4,0.6915254237288135,885,11.75819209039548,vivit,hmdb51,covstride,32
cov50_s8,0.6293785310734463,885,6.315254237288135,vivit,hmdb51,covstride,32
cov75_s1,0.7988700564971751,885,31.568361581920904,vivit,hmdb51,covstride,32
cov75_s16,0.6237288135593221,885,4.925423728813559,vivit,hmdb51,covstride,32
cov75_s2,0.7853107344632768,885,26.90508474576271,vivit,hmdb51,covstride,32
cov75_s4,0.7717514124293785,885,16.52542372881356,vivit,hmdb51,covstride,32
cov75_s8,0.7050847457627119,885,9.302824858757063,vivit,hmdb51,covstride,32
