resolution,coverage,stride,top1,n
48,10,1,0.05875,1600
48,10,2,0.056875,1600
48,10,4,0.049375,1600
48,10,8,0.04875,1600
48,10,16,0.048125,1600
48,25,1,0.125,1600
48,25,2,0.104375,1600
48,25,4,0.0775,1600
48,25,8,0.055625,1600
48,25,16,0.050625,1600
48,50,1,0.304375,1600
48,50,2,0.274375,1600
48,50,4,0.170625,1600
48,50,8,0.105625,1600
48,50,16,0.060625,1600
48,75,1,0.43,1600
48,75,2,0.3875,1600
48,75,4,0.251875,1600
48,75,8,0.134375,1600
48,75,16,0.078125,1600
48,100,1,0.4625,1600
48,100,2,0.43125,1600
48,100,4,0.2925,1600
48,100,8,0.136875,1600
48,100,16,0.094375,1600
