resolution,coverage,stride,top1,n
112,10,1,0.080625,1600
112,10,2,0.070625,1600
112,10,4,0.058125,1600
112,10,8,0.05625,1600
112,10,16,0.05625,1600
112,25,1,0.160625,1600
112,25,2,0.13,1600
112,25,4,0.104375,1600
112,25,8,0.06625,1600
112,25,16,0.05625,1600
112,50,1,0.355,1600
112,50,2,0.355,1600
112,50,4,0.235,1600
112,50,8,0.1425,1600
112,50,16,0.0775,1600
112,75,1,0.55875,1600
112,75,2,0.536875,1600
112,75,4,0.368125,1600
112,75,8,0.199375,1600
112,75,16,0.11,1600
112,100,1,0.6425,1600
112,100,2,0.6175,1600
112,100,4,0.43625,1600
112,100,8,0.201875,1600
112,100,16,0.131875,1600
