coverage,stride,top1,n
10,1,0.0357967667436489,3464
10,2,0.0337759815242494,3464
10,4,0.030311778290993,3464
10,8,0.027136258660508,3464
10,16,0.027136258660508,3464
25,1,0.073325635103926,3464
25,2,0.0701501154734411,3464
25,4,0.056581986143187,3464
25,8,0.0404157043879907,3464
25,16,0.0288683602771362,3464
50,1,0.1575441644946423,3453
50,2,0.1473653734800231,3454
50,4,0.1371131038472664,3457
50,8,0.0922765403529071,3457
50,16,0.050230946882217,3464
75,1,0.2428909952606635,3376
75,2,0.2309058614564831,3378
75,4,0.2291543465405085,3382
75,8,0.1976470588235294,3400
75,16,0.1063084112149532,3424
100,1,0.2653435114503816,3275
100,2,0.2666259914582062,3278
100,4,0.2673357664233576,3288
100,8,0.2441613588110403,3297
100,16,0.1659663865546218,3332
