resolution,coverage,stride,top1,n
48,10,1,0.0725,1600
48,10,2,0.073125,1600
48,10,4,0.065,1600
48,10,8,0.058125,1600
48,10,16,0.058125,1600
48,25,1,0.11875,1600
48,25,2,0.113125,1600
48,25,4,0.095625,1600
48,25,8,0.06625,1600
48,25,16,0.06375,1600
48,50,1,0.19875,1600
48,50,2,0.19125,1600
48,50,4,0.176875,1600
48,50,8,0.1325,1600
48,50,16,0.090625,1600
48,75,1,0.241875,1600
48,75,2,0.239375,1600
48,75,4,0.224375,1600
48,75,8,0.17875,1600
48,75,16,0.12125,1600
48,100,1,0.241875,1600
48,100,2,0.246875,1600
48,100,4,0.24625,1600
48,100,8,0.195,1600
48,100,16,0.141875,1600
