coverage,stride,top1,n
10,1,0.6178217821782178,2020
10,2,0.6212871287128713,2020
10,4,0.5876237623762376,2020
10,8,0.5420792079207921,2020
10,16,0.4861386138613861,2020
25,1,0.7252475247524752,2020
25,2,0.7346534653465346,2020
25,4,0.7074257425742574,2020
25,8,0.6415841584158416,2020
25,16,0.554950495049505,2020
50,1,0.8163366336633663,2020
50,2,0.8143564356435643,2020
50,4,0.8,2020
50,8,0.7316831683168317,2020
50,16,0.6445544554455446,2020
75,1,0.8618811881188119,2020
75,2,0.8584158415841584,2020
75,4,0.8539603960396039,2020
75,8,0.7910891089108911,2020
75,16,0.7079207920792079,2020
100,1,0.8707920792079208,2020
100,2,0.8747524752475248,2020
100,4,0.8678217821782178,2020
100,8,0.8252475247524752,2020
100,16,0.7336633663366336,2020
