resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.05625,1600,videomae,finegym
48,10,2,0.045625,1600,videomae,finegym
48,10,4,0.041875,1600,videomae,finegym
48,10,8,0.036875,1600,videomae,finegym
48,10,16,0.035625,1600,videomae,finegym
48,25,1,0.074375,1600,videomae,finegym
48,25,2,0.0825,1600,videomae,finegym
48,25,4,0.06125,1600,videomae,finegym
48,25,8,0.0425,1600,videomae,finegym
48,25,16,0.0375,1600,videomae,finegym
48,50,1,0.12625,1600,videomae,finegym
48,50,2,0.12375,1600,videomae,finegym
48,50,4,0.10625,1600,videomae,finegym
48,50,8,0.08375,1600,videomae,finegym
48,50,16,0.05875,1600,videomae,finegym
48,75,1,0.20375,1600,videomae,finegym
48,75,2,0.175,1600,videomae,finegym
48,75,4,0.1275,1600,videomae,finegym
48,75,8,0.09125,1600,videomae,finegym
48,75,16,0.064375,1600,videomae,finegym
48,100,1,0.255,1600,videomae,finegym
48,100,2,0.19875,1600,videomae,finegym
48,100,4,0.148125,1600,videomae,finegym
48,100,8,0.0925,1600,videomae,finegym
48,100,16,0.07875,1600,videomae,finegym
96,10,1,0.06,1600,videomae,finegym
96,10,2,0.063125,1600,videomae,finegym
96,10,4,0.045625,1600,videomae,finegym
96,10,8,0.0375,1600,videomae,finegym
96,10,16,0.036875,1600,videomae,finegym
96,25,1,0.109375,1600,videomae,finegym
96,25,2,0.1175,1600,videomae,finegym
96,25,4,0.08625,1600,videomae,finegym
96,25,8,0.051875,1600,videomae,finegym
96,25,16,0.041875,1600,videomae,finegym
96,50,1,0.2375,1600,videomae,finegym
96,50,2,0.225625,1600,videomae,finegym
96,50,4,0.160625,1600,videomae,finegym
96,50,8,0.09125,1600,videomae,finegym
96,50,16,0.060625,1600,videomae,finegym
96,75,1,0.396875,1600,videomae,finegym
96,75,2,0.336875,1600,videomae,finegym
96,75,4,0.235625,1600,videomae,finegym
96,75,8,0.110625,1600,videomae,finegym
96,75,16,0.069375,1600,videomae,finegym
96,100,1,0.510625,1600,videomae,finegym
96,100,2,0.424375,1600,videomae,finegym
96,100,4,0.263125,1600,videomae,finegym
96,100,8,0.1275,1600,videomae,finegym
96,100,16,0.07625,1600,videomae,finegym
112,10,1,0.05875,1600,videomae,finegym
112,10,2,0.051875,1600,videomae,finegym
112,10,4,0.041875,1600,videomae,finegym
112,10,8,0.03375,1600,videomae,finegym
112,10,16,0.0325,1600,videomae,finegym
112,25,1,0.1075,1600,videomae,finegym
112,25,2,0.108125,1600,videomae,finegym
112,25,4,0.073125,1600,videomae,finegym
112,25,8,0.050625,1600,videomae,finegym
112,25,16,0.038125,1600,videomae,finegym
112,50,1,0.2475,1600,videomae,finegym
112,50,2,0.233125,1600,videomae,finegym
112,50,4,0.155625,1600,videomae,finegym
112,50,8,0.089375,1600,videomae,finegym
112,50,16,0.056875,1600,videomae,finegym
112,75,1,0.44875,1600,videomae,finegym
112,75,2,0.3875,1600,videomae,finegym
112,75,4,0.22875,1600,videomae,finegym
112,75,8,0.119375,1600,videomae,finegym
112,75,16,0.084375,1600,videomae,finegym
112,100,1,0.575,1600,videomae,finegym
112,100,2,0.478125,1600,videomae,finegym
112,100,4,0.30625,1600,videomae,finegym
112,100,8,0.143125,1600,videomae,finegym
112,100,16,0.098125,1600,videomae,finegym
160,10,1,0.06625,1600,videomae,finegym
160,10,2,0.063125,1600,videomae,finegym
160,10,4,0.051875,1600,videomae,finegym
160,10,8,0.03875,1600,videomae,finegym
160,10,16,0.035,1600,videomae,finegym
160,25,1,0.109375,1600,videomae,finegym
160,25,2,0.10375,1600,videomae,finegym
160,25,4,0.0825,1600,videomae,finegym
160,25,8,0.059375,1600,videomae,finegym
160,25,16,0.046875,1600,videomae,finegym
160,50,1,0.27,1600,videomae,finegym
160,50,2,0.27375,1600,videomae,finegym
160,50,4,0.1875,1600,videomae,finegym
160,50,8,0.099375,1600,videomae,finegym
160,50,16,0.071875,1600,videomae,finegym
160,75,1,0.52875,1600,videomae,finegym
160,75,2,0.47625,1600,videomae,finegym
160,75,4,0.309375,1600,videomae,finegym
160,75,8,0.140625,1600,videomae,finegym
160,75,16,0.0825,1600,videomae,finegym
160,100,1,0.6475,1600,videomae,finegym
160,100,2,0.60375,1600,videomae,finegym
160,100,4,0.414375,1600,videomae,finegym
160,100,8,0.175625,1600,videomae,finegym
160,100,16,0.0875,1600,videomae,finegym
224,10,1,0.0525,1600,videomae,finegym
224,10,2,0.04875,1600,videomae,finegym
224,10,4,0.04875,1600,videomae,finegym
224,10,8,0.043125,1600,videomae,finegym
224,10,16,0.04375,1600,videomae,finegym
224,25,1,0.109375,1600,videomae,finegym
224,25,2,0.11375,1600,videomae,finegym
224,25,4,0.080625,1600,videomae,finegym
224,25,8,0.06,1600,videomae,finegym
224,25,16,0.053125,1600,videomae,finegym
224,50,1,0.33875,1600,videomae,finegym
224,50,2,0.35125,1600,videomae,finegym
224,50,4,0.2525,1600,videomae,finegym
224,50,8,0.12,1600,videomae,finegym
224,50,16,0.07125,1600,videomae,finegym
224,75,1,0.63125,1600,videomae,finegym
224,75,2,0.595625,1600,videomae,finegym
224,75,4,0.4225,1600,videomae,finegym
224,75,8,0.184375,1600,videomae,finegym
224,75,16,0.088125,1600,videomae,finegym
224,100,1,0.78,1600,videomae,finegym
224,100,2,0.739375,1600,videomae,finegym
224,100,4,0.566875,1600,videomae,finegym
224,100,8,0.278125,1600,videomae,finegym
224,100,16,0.101875,1600,videomae,finegym
