resolution,coverage,stride,top1,n
96,10,1,0.0825,1600
96,10,2,0.07625,1600
96,10,4,0.061875,1600
96,10,8,0.051875,1600
96,10,16,0.051875,1600
96,25,1,0.15,1600
96,25,2,0.15125,1600
96,25,4,0.134375,1600
96,25,8,0.0875,1600
96,25,16,0.0575,1600
96,50,1,0.323125,1600
96,50,2,0.310625,1600
96,50,4,0.2975,1600
96,50,8,0.215,1600
96,50,16,0.125625,1600
96,75,1,0.4625,1600
96,75,2,0.451875,1600
96,75,4,0.43875,1600
96,75,8,0.3475,1600
96,75,16,0.18875,1600
96,100,1,0.516875,1600
96,100,2,0.515625,1600
96,100,4,0.490625,1600
96,100,8,0.388125,1600
96,100,16,0.218125,1600
