coverage,stride,top1,n
10,1,0.0471063257065948,743
10,2,0.0403768506056527,743
10,4,0.0417227456258411,743
10,8,0.0430686406460296,743
10,16,0.0417227456258411,743
25,1,0.0726783310901749,743
25,2,0.0619111709286675,743
25,4,0.0565275908479138,743
25,8,0.0471063257065948,743
25,16,0.044414535666218,743
50,1,0.1049798115746971,743
50,2,0.0995962314939434,743
50,4,0.0874831763122476,743
50,8,0.0699865410497981,743
50,16,0.063257065948856,743
75,1,0.1426648721399731,743
75,2,0.1359353970390309,743
75,4,0.1278600269179004,743
75,8,0.0901749663526245,743
75,16,0.0565275908479138,743
100,1,0.1345895020188425,743
100,2,0.1507402422611036,743
100,4,0.1507402422611036,743
100,8,0.1211305518169582,743
100,16,0.063257065948856,743
