resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.0575,1600,videomamba,finegym
48,10,2,0.0575,1600,videomamba,finegym
48,10,4,0.054375,1600,videomamba,finegym
48,10,8,0.049375,1600,videomamba,finegym
48,10,16,0.04875,1600,videomamba,finegym
48,25,1,0.0875,1600,videomamba,finegym
48,25,2,0.08125,1600,videomamba,finegym
48,25,4,0.076875,1600,videomamba,finegym
48,25,8,0.056875,1600,videomamba,finegym
48,25,16,0.049375,1600,videomamba,finegym
48,50,1,0.15,1600,videomamba,finegym
48,50,2,0.164375,1600,videomamba,finegym
48,50,4,0.15375,1600,videomamba,finegym
48,50,8,0.118125,1600,videomamba,finegym
48,50,16,0.0775,1600,videomamba,finegym
48,75,1,0.2475,1600,videomamba,finegym
48,75,2,0.24375,1600,videomamba,finegym
48,75,4,0.22,1600,videomamba,finegym
48,75,8,0.173125,1600,videomamba,finegym
48,75,16,0.120625,1600,videomamba,finegym
48,100,1,0.293125,1600,videomamba,finegym
48,100,2,0.290625,1600,videomamba,finegym
48,100,4,0.2575,1600,videomamba,finegym
48,100,8,0.185625,1600,videomamba,finegym
48,100,16,0.14,1600,videomamba,finegym
96,10,1,0.0825,1600,videomamba,finegym
96,10,2,0.07625,1600,videomamba,finegym
96,10,4,0.061875,1600,videomamba,finegym
96,10,8,0.051875,1600,videomamba,finegym
96,10,16,0.051875,1600,videomamba,finegym
96,25,1,0.15,1600,videomamba,finegym
96,25,2,0.15125,1600,videomamba,finegym
96,25,4,0.134375,1600,videomamba,finegym
96,25,8,0.0875,1600,videomamba,finegym
96,25,16,0.0575,1600,videomamba,finegym
96,50,1,0.323125,1600,videomamba,finegym
96,50,2,0.310625,1600,videomamba,finegym
96,50,4,0.2975,1600,videomamba,finegym
96,50,8,0.215,1600,videomamba,finegym
96,50,16,0.125625,1600,videomamba,finegym
96,75,1,0.4625,1600,videomamba,finegym
96,75,2,0.451875,1600,videomamba,finegym
96,75,4,0.43875,1600,videomamba,finegym
96,75,8,0.3475,1600,videomamba,finegym
96,75,16,0.18875,1600,videomamba,finegym
96,100,1,0.516875,1600,videomamba,finegym
96,100,2,0.515625,1600,videomamba,finegym
96,100,4,0.490625,1600,videomamba,finegym
96,100,8,0.388125,1600,videomamba,finegym
96,100,16,0.218125,1600,videomamba,finegym
112,10,1,0.089375,1600,videomamba,finegym
112,10,2,0.07875,1600,videomamba,finegym
112,10,4,0.069375,1600,videomamba,finegym
112,10,8,0.06625,1600,videomamba,finegym
112,10,16,0.06625,1600,videomamba,finegym
112,25,1,0.154375,1600,videomamba,finegym
112,25,2,0.1625,1600,videomamba,finegym
112,25,4,0.14,1600,videomamba,finegym
112,25,8,0.08875,1600,videomamba,finegym
112,25,16,0.0675,1600,videomamba,finegym
112,50,1,0.378125,1600,videomamba,finegym
112,50,2,0.373125,1600,videomamba,finegym
112,50,4,0.330625,1600,videomamba,finegym
112,50,8,0.2125,1600,videomamba,finegym
112,50,16,0.123125,1600,videomamba,finegym
112,75,1,0.538125,1600,videomamba,finegym
112,75,2,0.53625,1600,videomamba,finegym
112,75,4,0.494375,1600,videomamba,finegym
112,75,8,0.371875,1600,videomamba,finegym
112,75,16,0.201875,1600,videomamba,finegym
112,100,1,0.580625,1600,videomamba,finegym
112,100,2,0.575,1600,videomamba,finegym
112,100,4,0.553125,1600,videomamba,finegym
112,100,8,0.438125,1600,videomamba,finegym
112,100,16,0.245,1600,videomamba,finegym
160,10,1,0.0925,1600,videomamba,finegym
160,10,2,0.084375,1600,videomamba,finegym
160,10,4,0.065625,1600,videomamba,finegym
160,10,8,0.055625,1600,videomamba,finegym
160,10,16,0.055,1600,videomamba,finegym
160,25,1,0.17125,1600,videomamba,finegym
160,25,2,0.1675,1600,videomamba,finegym
160,25,4,0.143125,1600,videomamba,finegym
160,25,8,0.095625,1600,videomamba,finegym
160,25,16,0.06125,1600,videomamba,finegym
160,50,1,0.40875,1600,videomamba,finegym
160,50,2,0.391875,1600,videomamba,finegym
160,50,4,0.351875,1600,videomamba,finegym
160,50,8,0.241875,1600,videomamba,finegym
160,50,16,0.13,1600,videomamba,finegym
160,75,1,0.593125,1600,videomamba,finegym
160,75,2,0.585625,1600,videomamba,finegym
160,75,4,0.5575,1600,videomamba,finegym
160,75,8,0.430625,1600,videomamba,finegym
160,75,16,0.21875,1600,videomamba,finegym
160,100,1,0.65875,1600,videomamba,finegym
160,100,2,0.646875,1600,videomamba,finegym
160,100,4,0.6375,1600,videomamba,finegym
160,100,8,0.535625,1600,videomamba,finegym
160,100,16,0.279375,1600,videomamba,finegym
224,10,1,0.111875,1600,videomamba,finegym
224,10,2,0.0975,1600,videomamba,finegym
224,10,4,0.0825,1600,videomamba,finegym
224,10,8,0.07375,1600,videomamba,finegym
224,10,16,0.07375,1600,videomamba,finegym
224,25,1,0.18625,1600,videomamba,finegym
224,25,2,0.17875,1600,videomamba,finegym
224,25,4,0.16,1600,videomamba,finegym
224,25,8,0.104375,1600,videomamba,finegym
224,25,16,0.076875,1600,videomamba,finegym
224,50,1,0.451875,1600,videomamba,finegym
224,50,2,0.4575,1600,videomamba,finegym
224,50,4,0.415,1600,videomamba,finegym
224,50,8,0.294375,1600,videomamba,finegym
224,50,16,0.13625,1600,videomamba,finegym
224,75,1,0.65,1600,videomamba,finegym
224,75,2,0.6475,1600,videomamba,finegym
224,75,4,0.625,1600,videomamba,finegym
224,75,8,0.48,1600,videomamba,finegym
224,75,16,0.249375,1600,videomamba,finegym
224,100,1,0.7325,1600,videomamba,finegym
224,100,2,0.72,1600,videomamba,finegym
224,100,4,0.708125,1600,videomamba,finegym
224,100,8,0.603125,1600,videomamba,finegym
224,100,16,0.3325,1600,videomamba,finegym
