coverage,stride,accuracy,avg_time,correct,total
10,1,0.611538,0.000000,12106,19796
25,1,0.693322,0.000000,13725,19796
50,1,0.742978,0.000000,14708,19796
75,1,0.758537,0.000000,15016,19796
100,1,0.761922,0.000000,15083,19796
10,2,0.622601,0.000000,12325,19796
25,2,0.690948,0.000000,13678,19796
50,2,0.744140,0.000000,14731,19796
75,2,0.759345,0.000000,15032,19796
100,2,0.761770,0.000000,15080,19796
10,4,0.624823,0.000000,12369,19796
25,4,0.680036,0.000000,13462,19796
50,4,0.741412,0.000000,14677,19796
75,4,0.760053,0.000000,15046,19796
100,4,0.760558,0.000000,15056,19796
10,8,0.612144,0.000000,12118,19796
25,8,0.667509,0.000000,13214,19796
50,8,0.721358,0.000000,14280,19796
75,8,0.723378,0.000000,14320,19796
100,8,0.761214,0.000000,15069,19796
10,16,0.569206,0.000000,11268,19796
25,16,0.657406,0.000000,13014,19796
50,16,0.705041,0.000000,13957,19796
75,16,0.741513,0.000000,14679,19796
100,16,0.755506,0.000000,14956,19796
