resolution,coverage,stride,top1,n,model,dataset
48,10,1,0.05875,1600,mc3_18,finegym
48,10,2,0.056875,1600,mc3_18,finegym
48,10,4,0.049375,1600,mc3_18,finegym
48,10,8,0.04875,1600,mc3_18,finegym
48,10,16,0.048125,1600,mc3_18,finegym
48,25,1,0.125,1600,mc3_18,finegym
48,25,2,0.104375,1600,mc3_18,finegym
48,25,4,0.0775,1600,mc3_18,finegym
48,25,8,0.055625,1600,mc3_18,finegym
48,25,16,0.050625,1600,mc3_18,finegym
48,50,1,0.304375,1600,mc3_18,finegym
48,50,2,0.274375,1600,mc3_18,finegym
48,50,4,0.170625,1600,mc3_18,finegym
48,50,8,0.105625,1600,mc3_18,finegym
48,50,16,0.060625,1600,mc3_18,finegym
48,75,1,0.43,1600,mc3_18,finegym
48,75,2,0.3875,1600,mc3_18,finegym
48,75,4,0.251875,1600,mc3_18,finegym
48,75,8,0.134375,1600,mc3_18,finegym
48,75,16,0.078125,1600,mc3_18,finegym
48,100,1,0.4625,1600,mc3_18,finegym
48,100,2,0.43125,1600,mc3_18,finegym
48,100,4,0.2925,1600,mc3_18,finegym
48,100,8,0.136875,1600,mc3_18,finegym
48,100,16,0.094375,1600,mc3_18,finegym
96,10,1,0.074375,1600,mc3_18,finegym
96,10,2,0.07125,1600,mc3_18,finegym
96,10,4,0.05875,1600,mc3_18,finegym
96,10,8,0.0575,1600,mc3_18,finegym
96,10,16,0.0575,1600,mc3_18,finegym
96,25,1,0.14375,1600,mc3_18,finegym
96,25,2,0.133125,1600,mc3_18,finegym
96,25,4,0.108125,1600,mc3_18,finegym
96,25,8,0.070625,1600,mc3_18,finegym
96,25,16,0.058125,1600,mc3_18,finegym
96,50,1,0.348125,1600,mc3_18,finegym
96,50,2,0.33375,1600,mc3_18,finegym
96,50,4,0.23125,1600,mc3_18,finegym
96,50,8,0.14625,1600,mc3_18,finegym
96,50,16,0.075625,1600,mc3_18,finegym
96,75,1,0.55125,1600,mc3_18,finegym
96,75,2,0.555625,1600,mc3_18,finegym
96,75,4,0.370625,1600,mc3_18,finegym
96,75,8,0.18,1600,mc3_18,finegym
96,75,16,0.109375,1600,mc3_18,finegym
96,100,1,0.623125,1600,mc3_18,finegym
96,100,2,0.594375,1600,mc3_18,finegym
96,100,4,0.413125,1600,mc3_18,finegym
96,100,8,0.17125,1600,mc3_18,finegym
96,100,16,0.113125,1600,mc3_18,finegym
112,10,1,0.080625,1600,mc3_18,finegym
112,10,2,0.070625,1600,mc3_18,finegym
112,10,4,0.058125,1600,mc3_18,finegym
112,10,8,0.05625,1600,mc3_18,finegym
112,10,16,0.05625,1600,mc3_18,finegym
112,25,1,0.160625,1600,mc3_18,finegym
112,25,2,0.13,1600,mc3_18,finegym
112,25,4,0.104375,1600,mc3_18,finegym
112,25,8,0.06625,1600,mc3_18,finegym
112,25,16,0.05625,1600,mc3_18,finegym
112,50,1,0.355,1600,mc3_18,finegym
112,50,2,0.355,1600,mc3_18,finegym
112,50,4,0.235,1600,mc3_18,finegym
112,50,8,0.1425,1600,mc3_18,finegym
112,50,16,0.0775,1600,mc3_18,finegym
112,75,1,0.55875,1600,mc3_18,finegym
112,75,2,0.536875,1600,mc3_18,finegym
112,75,4,0.368125,1600,mc3_18,finegym
112,75,8,0.199375,1600,mc3_18,finegym
112,75,16,0.11,1600,mc3_18,finegym
112,100,1,0.6425,1600,mc3_18,finegym
112,100,2,0.6175,1600,mc3_18,finegym
112,100,4,0.43625,1600,mc3_18,finegym
112,100,8,0.201875,1600,mc3_18,finegym
112,100,16,0.131875,1600,mc3_18,finegym
160,10,1,0.103125,1600,mc3_18,finegym
160,10,2,0.0875,1600,mc3_18,finegym
160,10,4,0.08,1600,mc3_18,finegym
160,10,8,0.078125,1600,mc3_18,finegym
160,10,16,0.076875,1600,mc3_18,finegym
160,25,1,0.211875,1600,mc3_18,finegym
160,25,2,0.19125,1600,mc3_18,finegym
160,25,4,0.1425,1600,mc3_18,finegym
160,25,8,0.095,1600,mc3_18,finegym
160,25,16,0.083125,1600,mc3_18,finegym
160,50,1,0.44,1600,mc3_18,finegym
160,50,2,0.45625,1600,mc3_18,finegym
160,50,4,0.339375,1600,mc3_18,finegym
160,50,8,0.2,1600,mc3_18,finegym
160,50,16,0.10875,1600,mc3_18,finegym
160,75,1,0.65375,1600,mc3_18,finegym
160,75,2,0.634375,1600,mc3_18,finegym
160,75,4,0.459375,1600,mc3_18,finegym
160,75,8,0.2775,1600,mc3_18,finegym
160,75,16,0.150625,1600,mc3_18,finegym
160,100,1,0.7375,1600,mc3_18,finegym
160,100,2,0.708125,1600,mc3_18,finegym
160,100,4,0.531875,1600,mc3_18,finegym
160,100,8,0.293125,1600,mc3_18,finegym
160,100,16,0.161875,1600,mc3_18,finegym
224,10,1,0.0775,1600,mc3_18,finegym
224,10,2,0.0675,1600,mc3_18,finegym
224,10,4,0.06375,1600,mc3_18,finegym
224,10,8,0.063125,1600,mc3_18,finegym
224,10,16,0.063125,1600,mc3_18,finegym
224,25,1,0.156875,1600,mc3_18,finegym
224,25,2,0.130625,1600,mc3_18,finegym
224,25,4,0.095,1600,mc3_18,finegym
224,25,8,0.070625,1600,mc3_18,finegym
224,25,16,0.06375,1600,mc3_18,finegym
224,50,1,0.394375,1600,mc3_18,finegym
224,50,2,0.360625,1600,mc3_18,finegym
224,50,4,0.24625,1600,mc3_18,finegym
224,50,8,0.1275,1600,mc3_18,finegym
224,50,16,0.078125,1600,mc3_18,finegym
224,75,1,0.58875,1600,mc3_18,finegym
224,75,2,0.556875,1600,mc3_18,finegym
224,75,4,0.371875,1600,mc3_18,finegym
224,75,8,0.20125,1600,mc3_18,finegym
224,75,16,0.11125,1600,mc3_18,finegym
224,100,1,0.656875,1600,mc3_18,finegym
224,100,2,0.611875,1600,mc3_18,finegym
224,100,4,0.47125,1600,mc3_18,finegym
224,100,8,0.265,1600,mc3_18,finegym
224,100,16,0.119375,1600,mc3_18,finegym
