coverage,stride,accuracy,avg_time,correct,total
10,1,0.76,0.09373446464538575,38,50
25,1,0.8,0.05165496826171875,40,50
50,1,0.9,0.05261762142181396,45,50
75,1,0.94,0.05275210380554199,47,50
100,1,0.94,0.05254417896270752,47,50
10,2,0.82,0.05272833824157715,41,50
25,2,0.9,0.05267760753631592,45,50
50,2,0.84,0.05261159896850586,42,50
75,2,0.94,0.05237874031066894,47,50
100,2,0.94,0.052465715408325196,47,50
10,4,0.84,0.05235515117645264,42,50
25,4,0.86,0.05231785774230957,43,50
50,4,0.92,0.052265868186950684,46,50
75,4,0.88,0.06542696475982666,44,50
100,4,0.88,0.05161190509796142,44,50
10,8,0.54,0.052497329711914065,27,50
25,8,0.82,0.05288604736328125,41,50
50,8,0.94,0.05301626682281494,47,50
75,8,0.82,0.052494626045227054,41,50
100,8,0.92,0.05291450023651123,46,50
10,16,0.54,0.05282183170318604,27,50
25,16,0.54,0.05315362930297852,27,50
50,16,0.78,0.053120570182800295,39,50
75,16,0.78,0.052245659828186033,39,50
100,16,0.88,0.052914514541625976,44,50
