coverage,stride,top1,n
10,1,0.293069306930693,2020
10,2,0.2386138613861386,2020
10,4,0.1876237623762376,2020
10,8,0.1495049504950495,2020
10,16,0.1267326732673267,2020
25,1,0.4143564356435643,2020
25,2,0.3772277227722772,2020
25,4,0.3163366336633663,2020
25,8,0.2282178217821782,2020
25,16,0.1648514851485148,2020
50,1,0.496039603960396,2020
50,2,0.4886138613861386,2020
50,4,0.447029702970297,2020
50,8,0.3623762376237623,2020
50,16,0.2638613861386139,2020
75,1,0.5396039603960396,2020
75,2,0.5282178217821782,2020
75,4,0.5198019801980198,2020
75,8,0.4504950495049505,2020
75,16,0.3405940594059406,2020
100,1,0.5618811881188119,2020
100,2,0.5643564356435643,2020
100,4,0.5554455445544555,2020
100,8,0.5099009900990099,2020
100,16,0.396039603960396,2020
