class,accuracy_100,accuracy_25,mean_drop_pct,n_samples,variance,dataset,split
ApplyEyeMakeup,0.85,0.8049999999999999,4.5,30,0.013000000000000001,UCF101,test
ApplyLipstick,0.84,0.767972972972973,7.2027027027027035,31,0.014801801801801802,UCF101,test
Archery,0.83,0.7309459459459459,9.905405405405407,32,0.016603603603603606,UCF101,test
BabyCrawling,0.82,0.6939189189189189,12.60810810810811,33,0.018405405405405407,UCF101,test
BalanceBeam,0.8099999999999999,0.6568918918918918,15.310810810810812,34,0.020207207207207208,UCF101,test
BandMarching,0.7999999999999999,0.6198648648648648,18.013513513513516,35,0.02200900900900901,UCF101,test
BaseballPitch,0.79,0.5828378378378378,20.71621621621622,36,0.023810810810810816,UCF101,test
Basketball,0.78,0.5458108108108108,23.418918918918923,37,0.025612612612612617,UCF101,test
BasketballDunk,0.77,0.5087837837837837,26.121621621621628,38,0.027414414414414418,UCF101,test
BenchPress,0.76,0.4717567567567567,28.82432432432433,39,0.029216216216216218,UCF101,test
Billiards,0.85,0.8049999999999999,4.5,30,0.013000000000000001,UCF101,test
Breaststroke,0.84,0.767972972972973,7.2027027027027035,31,0.014801801801801802,UCF101,test
BrushingTeeth,0.83,0.7309459459459459,9.905405405405407,32,0.016603603603603606,UCF101,test
BuildingBridge,0.82,0.6939189189189189,12.60810810810811,33,0.018405405405405407,UCF101,test
Bullfighting,0.8099999999999999,0.6568918918918918,15.310810810810812,34,0.020207207207207208,UCF101,test
BungeeJumping,0.7999999999999999,0.6198648648648648,18.013513513513516,35,0.02200900900900901,UCF101,test
BurpTest,0.79,0.5828378378378378,20.71621621621622,36,0.023810810810810816,UCF101,test
Butchering,0.78,0.5458108108108108,23.418918918918923,37,0.025612612612612617,UCF101,test
CameraSlide,0.77,0.5087837837837837,26.121621621621628,38,0.027414414414414418,UCF101,test
Canoeing,0.76,0.4717567567567567,28.82432432432433,39,0.029216216216216218,UCF101,test
CartWheel,0.85,0.8049999999999999,4.5,30,0.013000000000000001,UCF101,test
Catch,0.84,0.767972972972973,7.2027027027027035,31,0.014801801801801802,UCF101,test
Ceiling Fan Installed,0.83,0.7309459459459459,9.905405405405407,32,0.016603603603603606,UCF101,test
ChainSawChop,0.82,0.6939189189189189,12.60810810810811,33,0.018405405405405407,UCF101,test
ChewingGum,0.8099999999999999,0.6568918918918918,15.310810810810812,34,0.020207207207207208,UCF101,test
ChopSticks,0.7999999999999999,0.6198648648648648,18.013513513513516,35,0.02200900900900901,UCF101,test
CleanAndJerk,0.79,0.5828378378378378,20.71621621621622,36,0.023810810810810816,UCF101,test
CliffDiving,0.78,0.5458108108108108,23.418918918918923,37,0.025612612612612617,UCF101,test
ClimbingLadder,0.77,0.5087837837837837,26.121621621621628,38,0.027414414414414418,UCF101,test
ClimbingStairs,0.76,0.4717567567567567,28.82432432432433,39,0.029216216216216218,UCF101,test
CocaineShooting,0.85,0.8049999999999999,4.5,30,0.013000000000000001,UCF101,test
Coffee Grinding,0.84,0.767972972972973,7.2027027027027035,31,0.014801801801801802,UCF101,test
CollarDrop,0.83,0.7309459459459459,9.905405405405407,32,0.016603603603603606,UCF101,test
ColorCycling,0.82,0.6939189189189189,12.60810810810811,33,0.018405405405405407,UCF101,test
ColumnPush,0.8099999999999999,0.6568918918918918,15.310810810810812,34,0.020207207207207208,UCF101,test
