coverage,stride,top1,n
10,1,0.3887005649717514,885
10,2,0.3943502824858757,885
10,4,0.3480225988700565,885
10,8,0.3186440677966101,885
10,16,0.2745762711864407,885
25,1,0.519774011299435,885
25,2,0.519774011299435,885
25,4,0.5107344632768361,885
25,8,0.4564971751412429,885
25,16,0.3898305084745763,885
50,1,0.6903954802259887,885
50,2,0.6926553672316385,885
50,4,0.6711864406779661,885
50,8,0.5954802259887005,885
50,16,0.4632768361581921,885
75,1,0.7909604519774012,885
75,2,0.7762711864406779,885
75,4,0.7830508474576271,885
75,8,0.7016949152542373,885
75,16,0.5265536723163842,885
100,1,0.807909604519774,885
100,2,0.8067796610169492,885
100,4,0.8045197740112995,885
100,8,0.7344632768361582,885
100,16,0.576271186440678,885
