coverage,stride,top1,n
10,1,0.0551385681293302,3464
10,2,0.0467667436489607,3464
10,4,0.0383949191685912,3464
10,8,0.0331986143187066,3464
10,16,0.0331986143187066,3464
25,1,0.1117205542725173,3464
25,2,0.098729792147806,3464
25,4,0.0669745958429561,3464
25,8,0.0522517321016166,3464
25,16,0.0331986143187066,3464
50,1,0.2557196640602375,3453
50,2,0.2411696583671106,3454
50,4,0.1750072317037894,3457
50,8,0.0992189759907434,3457
50,16,0.0580254041570438,3464
75,1,0.399585308056872,3376
75,2,0.3910597986974541,3378
75,4,0.3379657007687758,3382
75,8,0.175,3400
75,16,0.0984228971962616,3424
100,1,0.4451908396946565,3275
100,2,0.4511897498474679,3278
100,4,0.3984184914841849,3288
100,8,0.2153472854109796,3297
100,16,0.1239495798319327,3332
