resolution,coverage,stride,top1,n
96,10,1,0.05375,1600
96,10,2,0.04,1600
96,10,4,0.03375,1600
96,10,8,0.03375,1600
96,10,16,0.03375,1600
96,25,1,0.1125,1600
96,25,2,0.08875,1600
96,25,4,0.064375,1600
96,25,8,0.039375,1600
96,25,16,0.03375,1600
96,50,1,0.25125,1600
96,50,2,0.1975,1600
96,50,4,0.144375,1600
96,50,8,0.08,1600
96,50,16,0.048125,1600
96,75,1,0.361875,1600
96,75,2,0.265625,1600
96,75,4,0.195625,1600
96,75,8,0.123125,1600
96,75,16,0.078125,1600
96,100,1,0.39125,1600
96,100,2,0.32,1600
96,100,4,0.22625,1600
96,100,8,0.159375,1600
96,100,16,0.08625,1600
