coverage,stride,top1,n
10,1,0.0167496604798551,4418
10,2,0.0162969669533725,4418
10,4,0.0133544590312358,4418
10,8,0.0104119511090991,4418
10,16,0.0104119511090991,4418
25,1,0.0647351742870077,4418
25,2,0.0690357627885921,4418
25,4,0.0812584880036215,4418
25,8,0.0550022634676324,4418
25,16,0.0341783612494341,4418
50,1,0.4320959710276143,4418
50,2,0.4153463105477591,4418
50,4,0.4126301493888637,4418
50,8,0.366908103214124,4418
50,16,0.2360796740606609,4418
75,1,0.6398822996831145,4418
75,2,0.6344499773653237,4418
75,4,0.6238116794929832,4418
75,8,0.6050248981439565,4418
75,16,0.4463558171118153,4418
100,1,0.6564056133997284,4418
100,2,0.6566319601629697,4418
100,4,0.6568583069262109,4418
100,8,0.6496152105024898,4418
100,16,0.4966047985513807,4418
