coverage,stride,top1,n
10,1,0.3705357142857143,448
10,2,0.3638392857142857,448
10,4,0.34375,448
10,8,0.328125,448
10,16,0.328125,448
25,1,0.4040178571428571,448
25,2,0.4107142857142857,448
25,4,0.375,448
25,8,0.359375,448
25,16,0.328125,448
50,1,0.4285714285714285,448
50,2,0.4441964285714285,448
50,4,0.4308035714285714,448
50,8,0.40625,448
50,16,0.3683035714285714,448
75,1,0.4709821428571428,448
75,2,0.4642857142857143,448
75,4,0.4508928571428571,448
75,8,0.453125,448
75,16,0.4196428571428571,448
100,1,0.4821428571428571,448
100,2,0.46875,448
100,4,0.4620535714285714,448
100,8,0.453125,448
100,16,0.4352678571428571,448
