resolution,coverage,stride,top1,n
96,10,1,0.06,1600
96,10,2,0.063125,1600
96,10,4,0.045625,1600
96,10,8,0.0375,1600
96,10,16,0.036875,1600
96,25,1,0.109375,1600
96,25,2,0.1175,1600
96,25,4,0.08625,1600
96,25,8,0.051875,1600
96,25,16,0.041875,1600
96,50,1,0.2375,1600
96,50,2,0.225625,1600
96,50,4,0.160625,1600
96,50,8,0.09125,1600
96,50,16,0.060625,1600
96,75,1,0.396875,1600
96,75,2,0.336875,1600
96,75,4,0.235625,1600
96,75,8,0.110625,1600
96,75,16,0.069375,1600
96,100,1,0.510625,1600
96,100,2,0.424375,1600
96,100,4,0.263125,1600
96,100,8,0.1275,1600
96,100,16,0.07625,1600
