resolution,coverage,stride,top1,n
160,10,1,0.103125,1600
160,10,2,0.0875,1600
160,10,4,0.08,1600
160,10,8,0.078125,1600
160,10,16,0.076875,1600
160,25,1,0.211875,1600
160,25,2,0.19125,1600
160,25,4,0.1425,1600
160,25,8,0.095,1600
160,25,16,0.083125,1600
160,50,1,0.44,1600
160,50,2,0.45625,1600
160,50,4,0.339375,1600
160,50,8,0.2,1600
160,50,16,0.10875,1600
160,75,1,0.65375,1600
160,75,2,0.634375,1600
160,75,4,0.459375,1600
160,75,8,0.2775,1600
160,75,16,0.150625,1600
160,100,1,0.7375,1600
160,100,2,0.708125,1600
160,100,4,0.531875,1600
160,100,8,0.293125,1600
160,100,16,0.161875,1600
