coverage,stride,accuracy,avg_time,correct,total
10,1,0.664730,0.000000,13159,19796
25,1,0.727723,0.000000,14406,19796
50,1,0.764548,0.000000,15135,19796
75,1,0.764599,0.000000,15136,19796
100,1,0.759850,0.000000,15042,19796
10,2,0.605880,0.000000,11994,19796
25,2,0.724591,0.000000,14344,19796
50,2,0.765205,0.000000,15148,19796
75,2,0.764296,0.000000,15130,19796
100,2,0.758537,0.000000,15016,19796
10,4,0.623813,0.000000,12349,19796
25,4,0.718175,0.000000,14217,19796
50,4,0.763437,0.000000,15113,19796
75,4,0.763639,0.000000,15117,19796
100,4,0.757375,0.000000,14993,19796
10,8,0.597343,0.000000,11825,19796
25,8,0.652455,0.000000,12916,19796
50,8,0.753536,0.000000,14917,19796
75,8,0.762073,0.000000,15086,19796
100,8,0.755607,0.000000,14958,19796
10,16,0.542837,0.000000,10746,19796
25,16,0.603506,0.000000,11947,19796
50,16,0.682815,0.000000,13517,19796
75,16,0.684179,0.000000,13544,19796
100,16,0.753233,0.000000,14911,19796
