resolution,coverage,stride,top1,n
96,10,1,0.088125,1600
96,10,2,0.0825,1600
96,10,4,0.06875,1600
96,10,8,0.065625,1600
96,10,16,0.065,1600
96,25,1,0.195,1600
96,25,2,0.166875,1600
96,25,4,0.136875,1600
96,25,8,0.09125,1600
96,25,16,0.075,1600
96,50,1,0.40375,1600
96,50,2,0.369375,1600
96,50,4,0.304375,1600
96,50,8,0.21125,1600
96,50,16,0.12375,1600
96,75,1,0.475,1600
96,75,2,0.466875,1600
96,75,4,0.418125,1600
96,75,8,0.314375,1600
96,75,16,0.170625,1600
96,100,1,0.488125,1600
96,100,2,0.4775,1600
96,100,4,0.459375,1600
96,100,8,0.383125,1600
96,100,16,0.215625,1600
