resolution,coverage,stride,top1,n
96,10,1,0.065,1600
96,10,2,0.0625,1600
96,10,4,0.055,1600
96,10,8,0.050625,1600
96,10,16,0.050625,1600
96,25,1,0.145,1600
96,25,2,0.11875,1600
96,25,4,0.078125,1600
96,25,8,0.064375,1600
96,25,16,0.050625,1600
96,50,1,0.4,1600
96,50,2,0.28375,1600
96,50,4,0.135,1600
96,50,8,0.0825,1600
96,50,16,0.065,1600
96,75,1,0.5625,1600
96,75,2,0.41375,1600
96,75,4,0.168125,1600
96,75,8,0.078125,1600
96,75,16,0.0775,1600
96,100,1,0.671875,1600
96,100,2,0.478125,1600
96,100,4,0.185625,1600
96,100,8,0.085,1600
96,100,16,0.079375,1600
