config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.9158415841584159,2020,8.0,timesformer,ucf101,covstride,8
cov100_s16,0.9173267326732674,2020,7.44009900990099,timesformer,ucf101,covstride,8
cov100_s2,0.9193069306930693,2020,8.0,timesformer,ucf101,covstride,8
cov100_s4,0.9168316831683169,2020,8.0,timesformer,ucf101,covstride,8
cov100_s8,0.9212871287128713,2020,7.97970297029703,timesformer,ucf101,covstride,8
cov10_s1,0.8301980198019802,2020,7.8861386138613865,timesformer,ucf101,covstride,8
cov10_s16,0.752970297029703,2020,1.5603960396039604,timesformer,ucf101,covstride,8
cov10_s2,0.8292079207920792,2020,6.854950495049505,timesformer,ucf101,covstride,8
cov10_s4,0.8267326732673267,2020,4.708910891089109,timesformer,ucf101,covstride,8
cov10_s8,0.803960396039604,2020,2.7074257425742574,timesformer,ucf101,covstride,8
cov25_s1,0.8747524752475248,2020,8.0,timesformer,ucf101,covstride,8
cov25_s16,0.842079207920792,2020,3.237623762376238,timesformer,ucf101,covstride,8
cov25_s2,0.8767326732673267,2020,7.975247524752476,timesformer,ucf101,covstride,8
cov25_s4,0.8702970297029703,2020,7.404455445544555,timesformer,ucf101,covstride,8
cov25_s8,0.8702970297029703,2020,5.557920792079208,timesformer,ucf101,covstride,8
cov50_s1,0.898019801980198,2020,8.0,timesformer,ucf101,covstride,8
cov50_s16,0.8856435643564357,2020,5.582673267326733,timesformer,ucf101,covstride,8
cov50_s2,0.9024752475247525,2020,8.0,timesformer,ucf101,covstride,8
cov50_s4,0.9024752475247525,2020,7.9787128712871285,timesformer,ucf101,covstride,8
cov50_s8,0.8960396039603961,2020,7.423762376237624,timesformer,ucf101,covstride,8
cov75_s1,0.9178217821782179,2020,8.0,timesformer,ucf101,covstride,8
cov75_s16,0.9044554455445545,2020,6.794554455445544,timesformer,ucf101,covstride,8
cov75_s2,0.9173267326732674,2020,8.0,timesformer,ucf101,covstride,8
cov75_s4,0.9163366336633664,2020,7.998019801980198,timesformer,ucf101,covstride,8
cov75_s8,0.9158415841584159,2020,7.887128712871287,timesformer,ucf101,covstride,8
