config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.7943502824858757,885,16.0,mc3_18,hmdb51,covstride,16
cov100_s16,0.7220338983050848,885,6.143502824858757,mc3_18,hmdb51,covstride,16
cov100_s2,0.7875706214689265,885,15.966101694915254,mc3_18,hmdb51,covstride,16
cov100_s4,0.7774011299435029,885,14.864406779661017,mc3_18,hmdb51,covstride,16
cov100_s8,0.7559322033898305,885,10.498305084745763,mc3_18,hmdb51,covstride,16
cov10_s1,0.5943502824858757,885,8.561581920903954,mc3_18,hmdb51,covstride,16
cov10_s16,0.5299435028248588,885,1.1288135593220339,mc3_18,hmdb51,covstride,16
cov10_s2,0.5807909604519774,885,4.888135593220339,mc3_18,hmdb51,covstride,16
cov10_s4,0.5638418079096045,885,2.694915254237288,mc3_18,hmdb51,covstride,16
cov10_s8,0.5457627118644067,885,1.528813559322034,mc3_18,hmdb51,covstride,16
cov25_s1,0.6757062146892655,885,14.732203389830508,mc3_18,hmdb51,covstride,16
cov25_s16,0.5807909604519774,885,2.015819209039548,mc3_18,hmdb51,covstride,16
cov25_s2,0.6677966101694915,885,10.31186440677966,mc3_18,hmdb51,covstride,16
cov25_s4,0.6519774011299435,885,6.0067796610169495,mc3_18,hmdb51,covstride,16
cov25_s8,0.6135593220338983,885,3.462146892655367,mc3_18,hmdb51,covstride,16
cov50_s1,0.7446327683615819,885,15.96271186440678,mc3_18,hmdb51,covstride,16
cov50_s16,0.6531073446327683,885,3.487005649717514,mc3_18,hmdb51,covstride,16
cov50_s2,0.7412429378531074,885,14.768361581920903,mc3_18,hmdb51,covstride,16
cov50_s4,0.7265536723163842,885,10.39322033898305,mc3_18,hmdb51,covstride,16
cov50_s8,0.6949152542372882,885,6.066666666666666,mc3_18,hmdb51,covstride,16
cov75_s1,0.784180790960452,885,16.0,mc3_18,hmdb51,covstride,16
cov75_s16,0.6903954802259887,885,4.83954802259887,mc3_18,hmdb51,covstride,16
cov75_s2,0.7751412429378531,885,15.798870056497176,mc3_18,hmdb51,covstride,16
cov75_s4,0.7717514124293785,885,13.594350282485875,mc3_18,hmdb51,covstride,16
cov75_s8,0.7423728813559322,885,8.534463276836158,mc3_18,hmdb51,covstride,16
