coverage,stride,top1,n,model,dataset
10,1,0.46440677966101696,885,r3d_18,hmdb51
10,2,0.4497175141242938,885,r3d_18,hmdb51
10,4,0.4101694915254237,885,r3d_18,hmdb51
10,8,0.37740112994350283,885,r3d_18,hmdb51
10,16,0.34915254237288135,885,r3d_18,hmdb51
25,1,0.6011299435028249,885,r3d_18,hmdb51
25,2,0.5717514124293785,885,r3d_18,hmdb51
25,4,0.5231638418079096,885,r3d_18,hmdb51
25,8,0.4598870056497175,885,r3d_18,hmdb51
25,16,0.42824858757062145,885,r3d_18,hmdb51
50,1,0.6836158192090396,885,r3d_18,hmdb51
50,2,0.6779661016949152,885,r3d_18,hmdb51
50,4,0.6406779661016949,885,r3d_18,hmdb51
50,8,0.5525423728813559,885,r3d_18,hmdb51
50,16,0.47909604519774013,885,r3d_18,hmdb51
75,1,0.7367231638418079,885,r3d_18,hmdb51
75,2,0.7288135593220338,885,r3d_18,hmdb51
75,4,0.6994350282485876,885,r3d_18,hmdb51
75,8,0.6124293785310735,885,r3d_18,hmdb51
75,16,0.5129943502824859,885,r3d_18,hmdb51
100,1,0.7570621468926554,885,r3d_18,hmdb51
100,2,0.7548022598870057,885,r3d_18,hmdb51
100,4,0.7265536723163842,885,r3d_18,hmdb51
100,8,0.6508474576271186,885,r3d_18,hmdb51
100,16,0.5401129943502825,885,r3d_18,hmdb51
