label_id,n_models,mean_acc_s1,mean_acc_s16,mean_rel_drop,mean_abs_drop,std_rel_drop,sensitivity,dataset
0,8,0.0,0.007352941176470588,-0.007352941176470588,-0.007352941176470588,0.020797258270192576,Low,finegym
1,8,0.56875,0.49374999999999997,0.075,0.075,0.1309307341415954,Low,finegym
2,8,0.51875,0.55,-0.031249999999999993,-0.031249999999999993,0.06512350903146596,Low,finegym
3,8,0.06730769230769232,0.07692307692307693,-0.009615384615384616,-0.009615384615384616,0.10432328322004136,Low,finegym
4,8,0.225,0.1375,0.08750000000000001,0.08750000000000001,0.16850180160122072,Low,finegym
6,8,0.5,0.025,0.47500000000000003,0.47500000000000003,0.18708286933869706,Low,finegym
7,8,0.50625,0.0,0.50625,0.50625,0.2883914750077451,Moderate,finegym
8,8,0.73125,0.05,0.68125,0.68125,0.31388976681995495,Moderate,finegym
9,8,0.4,0.1,0.30000000000000004,0.30000000000000004,0.2659215781283755,Low,finegym
10,8,0.69375,0.04375,0.65,0.65,0.08864052604279184,Moderate,finegym
11,8,0.5859375,0.1171875,0.46875,0.46875,0.15309310892394862,Low,finegym
12,8,0.6640625,0.1328125,0.53125,0.53125,0.17677669529663687,Moderate,finegym
13,8,0.32954545454545453,0.011363636363636364,0.3181818181818182,0.3181818181818182,0.16116459280507606,Low,finegym
14,8,0.65,0.03333333333333333,0.6166666666666667,0.6166666666666667,0.1272418020560704,Moderate,finegym
15,8,0.84375,0.075,0.76875,0.76875,0.18310321055155127,High,finegym
16,8,0.88125,0.35625,0.525,0.525,0.3484660262185848,Moderate,finegym
17,8,0.9312499999999999,0.16875,0.7625,0.7625,0.2887782144533364,High,finegym
18,8,1.0,0.33125000000000004,0.66875,0.66875,0.360493213726496,Moderate,finegym
19,8,0.7115384615384616,0.04807692307692308,0.6634615384615384,0.6634615384615384,0.2991605612712317,Moderate,finegym
20,8,0.4791666666666667,0.020833333333333332,0.45833333333333337,0.45833333333333337,0.35355339059327373,Low,finegym
21,8,0.90625,0.5125,0.39375,0.39375,0.3649241604184942,Low,finegym
22,8,0.875,0.14375,0.73125,0.73125,0.2698379143115363,High,finegym
23,8,0.703125,0.09375,0.609375,0.609375,0.4088174365515388,Moderate,finegym
24,8,0.7,0.1375,0.5625,0.5625,0.19594095320493152,Moderate,finegym
25,8,0.81875,0.10625,0.7125,0.7125,0.24892626561752318,High,finegym
26,8,0.9375,0.09375,0.84375,0.84375,0.14985111658862318,High,finegym
27,8,0.20833333333333334,0.025,0.18333333333333335,0.18333333333333335,0.12215005084172056,Low,finegym
28,8,0.73125,0.01875,0.7125,0.7125,0.1246423454758225,High,finegym
29,8,0.40625,0.0,0.40625,0.40625,0.2734534434127421,Low,finegym
30,8,0.8,0.16875,0.63125,0.63125,0.1980935925984771,Moderate,finegym
31,8,0.66875,0.025,0.64375,0.64375,0.16783814482155973,Moderate,finegym
32,8,0.64375,0.24375000000000002,0.4,0.4,0.3093772546815388,Low,finegym
33,8,0.39285714285714285,0.008928571428571428,0.3839285714285714,0.3839285714285714,0.21912062521931033,Low,finegym
34,8,0.64375,0.03125,0.6125,0.6125,0.18468119248354137,Moderate,finegym
35,8,0.775,0.01875,0.75625,0.75625,0.2665085096470387,High,finegym
36,8,0.3046875,0.03125,0.2734375,0.2734375,0.16682934768798924,Low,finegym
37,8,0.54375,0.11875,0.425,0.425,0.22677868380553634,Low,finegym
38,8,0.70625,0.2,0.50625,0.50625,0.3539950564626574,Moderate,finegym
39,8,0.25,0.019230769230769232,0.23076923076923078,0.23076923076923078,0.15924589830977404,Low,finegym
40,8,0.81875,0.14375,0.675,0.675,0.16035674514745463,Moderate,finegym
41,8,0.76875,0.0125,0.75625,0.75625,0.17614421850939563,High,finegym
43,8,0.78125,0.25625,0.525,0.525,0.16690459207925606,Moderate,finegym
44,8,0.425,0.037500000000000006,0.3875,0.3875,0.1552647508520297,Low,finegym
45,8,1.0,0.0,1.0,1.0,0.0,High,finegym
46,8,0.725,0.00625,0.71875,0.71875,0.1334634781503914,High,finegym
47,8,0.9625,0.04375,0.91875,0.91875,0.07529703086538578,High,finegym
48,8,0.8125,0.03125,0.78125,0.78125,0.24775780224127872,High,finegym
49,8,0.5,0.0,0.5,0.5,0.21380899352993954,Low,finegym
50,8,0.825,0.00625,0.81875,0.81875,0.08838834764831846,High,finegym
51,8,0.9875,0.13125,0.85625,0.85625,0.12374368670764577,High,finegym
52,8,0.9625,0.08125,0.88125,0.88125,0.07989949043284678,High,finegym
53,8,1.0,0.38888888888888884,0.6111111111111112,0.6111111111111112,0.3563483225498992,Moderate,finegym
54,8,0.7307692307692307,0.028846153846153848,0.7019230769230769,0.7019230769230769,0.3910181347985482,Moderate,finegym
55,8,0.9875,0.8624999999999999,0.125,0.125,0.17525491637693283,Low,finegym
56,8,1.0,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.4208273180784325,Moderate,finegym
57,8,0.8472222222222222,0.013888888888888888,0.8333333333333334,0.8333333333333334,0.15713484026367722,High,finegym
58,8,0.9285714285714286,0.11607142857142858,0.8125,0.8125,0.14253790861937748,High,finegym
59,8,0.95,0.04375,0.90625,0.90625,0.11475906437899734,High,finegym
60,8,0.90625,0.05625,0.85,0.85,0.10350983390135314,High,finegym
61,8,0.95625,0.1,0.85625,0.85625,0.16132819255878905,High,finegym
62,8,0.86875,0.08125,0.7875,0.7875,0.18468119248354137,High,finegym
63,8,0.99375,0.0375,0.95625,0.95625,0.062321172737911254,High,finegym
64,8,0.93125,0.0875,0.84375,0.84375,0.16132819255878902,High,finegym
65,8,0.8125,0.1875,0.625,0.625,0.5,Moderate,finegym
66,8,0.93125,0.08124999999999999,0.85,0.85,0.1752549163769328,High,finegym
