label_id,n_models,mean_acc_s1,mean_acc_s16,mean_rel_drop,mean_abs_drop,std_rel_drop,sensitivity,dataset
0,8,0.8515625,0.859375,-0.0078125,-0.0078125,0.07790146592238906,Low,hmdb51
1,8,0.7890625,0.390625,0.3984375,0.3984375,0.2891982065618171,High,hmdb51
2,8,1.0,0.9416666666666667,0.058333333333333334,0.058333333333333334,0.09718253158075503,Low,hmdb51
3,8,0.703125,0.4765625,0.2265625,0.2265625,0.22144387187921263,High,hmdb51
4,8,0.8223684210526315,0.625,0.19736842105263158,0.19736842105263158,0.15344610249592894,Moderate,hmdb51
5,8,0.90625,0.8359375,0.0703125,0.0703125,0.06193945056031967,Low,hmdb51
6,8,0.5859375,0.53125,0.0546875,0.0546875,0.13950446421428342,Low,hmdb51
7,8,0.7368421052631579,0.5921052631578947,0.14473684210526316,0.14473684210526316,0.17054580785283843,Moderate,hmdb51
8,8,0.8083333333333333,0.6333333333333333,0.17500000000000002,0.17500000000000002,0.2106301957580617,Moderate,hmdb51
9,8,0.91875,0.75625,0.16249999999999998,0.16249999999999998,0.18660500682304476,Moderate,hmdb51
10,8,0.58125,0.3625,0.21875,0.21875,0.15797264681854623,High,hmdb51
11,8,0.671875,0.359375,0.3125,0.3125,0.2714050741709047,High,hmdb51
12,8,0.4875,0.11875000000000001,0.36874999999999997,0.36874999999999997,0.25062422069704277,High,hmdb51
13,8,0.9191176470588235,0.7205882352941176,0.19852941176470587,0.19852941176470587,0.15701585664751927,Moderate,hmdb51
14,8,0.7265625,0.140625,0.5859375,0.5859375,0.20576919065163415,High,hmdb51
15,8,0.95,0.85,0.1,0.1,0.31065726533904936,Moderate,hmdb51
16,8,0.9453125,0.7578125,0.1875,0.1875,0.20321083351323288,Moderate,hmdb51
17,8,0.7039473684210527,0.47368421052631576,0.23026315789473684,0.23026315789473684,0.23016915374389343,High,hmdb51
18,8,0.8676470588235294,0.6911764705882353,0.17647058823529413,0.17647058823529413,0.28123026101985726,Moderate,hmdb51
19,8,0.59375,0.3875,0.20625,0.20625,0.18015370421630844,High,hmdb51
20,8,0.6644736842105263,0.22368421052631576,0.44078947368421056,0.44078947368421056,0.1968037033828776,High,hmdb51
21,8,0.75,0.5263157894736842,0.2236842105263158,0.2236842105263158,0.09643425066451626,High,hmdb51
22,8,0.9833333333333334,0.95,0.033333333333333326,0.033333333333333326,0.06172133998483675,Low,hmdb51
23,8,0.875,0.8026315789473684,0.07236842105263158,0.07236842105263158,0.06855106213838522,Low,hmdb51
24,8,0.48333333333333334,0.29166666666666663,0.19166666666666665,0.19166666666666665,0.10350983390135313,Moderate,hmdb51
25,8,0.975,0.9916666666666667,-0.016666666666666663,-0.016666666666666663,0.030860669992418377,Low,hmdb51
26,8,1.0,0.8083333333333333,0.19166666666666665,0.19166666666666665,0.3462955889419253,Moderate,hmdb51
27,8,0.5833333333333334,0.3680555555555556,0.2152777777777778,0.2152777777777778,0.12751007153221927,High,hmdb51
28,8,0.9338235294117647,0.8014705882352942,0.1323529411764706,0.1323529411764706,0.23686450738580508,Moderate,hmdb51
29,8,0.9916666666666667,0.7833333333333333,0.20833333333333334,0.20833333333333334,0.26770630673681683,High,hmdb51
30,8,0.8916666666666666,0.825,0.06666666666666667,0.06666666666666667,0.10079052613579395,Low,hmdb51
31,8,0.8970588235294117,0.8529411764705882,0.04411764705882354,0.04411764705882354,0.07539646405431245,Low,hmdb51
32,8,0.525,0.25,0.275,0.275,0.22360679774997896,High,hmdb51
33,8,0.90625,0.775,0.13124999999999998,0.13124999999999998,0.15103807466993213,Moderate,hmdb51
34,8,0.9473684210526315,0.868421052631579,0.0789473684210526,0.0789473684210526,0.07443229275647868,Moderate,hmdb51
35,8,0.953125,0.9140625,0.0390625,0.0390625,0.032346823094172854,Low,hmdb51
36,8,0.8083333333333333,0.6833333333333333,0.12500000000000006,0.12500000000000006,0.07506610843064024,Moderate,hmdb51
37,8,0.53125,0.25,0.28125,0.28125,0.20343040227908063,High,hmdb51
38,8,1.0,0.9583333333333333,0.04166666666666667,0.04166666666666667,0.0938590635448906,Low,hmdb51
39,8,0.8416666666666667,0.8666666666666667,-0.02499999999999998,-0.02499999999999998,0.07918232927769471,Low,hmdb51
40,8,0.8671875,0.7890625,0.078125,0.078125,0.10953432273558301,Low,hmdb51
41,8,0.7625000000000001,0.525,0.23750000000000004,0.23750000000000004,0.2183542338233253,High,hmdb51
42,8,0.41875,0.175,0.24375,0.24375,0.2145385413259951,High,hmdb51
43,8,0.90625,0.8625,0.04375,0.04375,0.1050085030570654,Low,hmdb51
44,8,0.7697368421052632,0.5855263157894737,0.18421052631578946,0.18421052631578946,0.12581353782467303,Moderate,hmdb51
45,8,0.875,0.8092105263157895,0.06578947368421051,0.06578947368421051,0.10431907462790684,Low,hmdb51
46,8,0.6805555555555556,0.6736111111111112,0.006944444444444406,0.006944444444444406,0.07534459343669653,Low,hmdb51
47,8,0.5833333333333333,0.575,0.008333333333333331,0.008333333333333331,0.05563486402641866,Low,hmdb51
48,8,0.7,0.5125,0.1875,0.1875,0.26958963523950885,Moderate,hmdb51
49,8,0.88125,0.7125,0.16875,0.16875,0.2202879608927499,Moderate,hmdb51
50,8,0.65,0.39999999999999997,0.24999999999999997,0.24999999999999997,0.19436506316151,High,hmdb51
