label_id,n_models,mean_acc_s1,mean_acc_s16,mean_rel_drop,mean_abs_drop,std_rel_drop,sensitivity,dataset
0,8,0.625,0.1,0.525,0.525,0.13093073414159542,High,ssv2
1,8,0.2222222222222222,0.07638888888888888,0.14583333333333331,0.14583333333333331,0.07821588628740882,Low,ssv2
2,8,0.3223684210526316,0.1,0.22236842105263155,0.22236842105263155,0.1409799498524092,Moderate,ssv2
3,8,0.4934210526315789,0.20625,0.28717105263157894,0.28717105263157894,0.18462594137105115,Moderate,ssv2
4,8,0.30921052631578944,0.15,0.15921052631578947,0.15921052631578947,0.1223370887205208,Low,ssv2
5,8,0.3125,0.08125,0.23125,0.23125,0.13076014027873437,Moderate,ssv2
6,8,0.6625,0.4625,0.2,0.2,0.1647508942095828,Low,ssv2
7,8,0.381578947368421,0.08552631578947367,0.29605263157894735,0.29605263157894735,0.12561680035040318,Moderate,ssv2
8,8,0.525,0.3625,0.1625,0.1625,0.13296078906418773,Low,ssv2
9,8,0.425,0.175,0.25,0.25,0.14638501094227996,Moderate,ssv2
10,8,0.48124999999999996,0.225,0.25625,0.25625,0.1568381786610463,Moderate,ssv2
11,8,0.75625,0.375,0.38125,0.38125,0.1850434311954127,High,ssv2
12,8,0.256578947368421,0.14375000000000002,0.11282894736842104,0.11282894736842104,0.12454457994687386,Low,ssv2
13,8,0.23125,0.025,0.20625,0.20625,0.11160357137142675,Moderate,ssv2
14,8,0.638157894736842,0.21710526315789475,0.42105263157894735,0.42105263157894735,0.2232968782694361,High,ssv2
15,8,0.375,0.15789473684210525,0.21710526315789472,0.21710526315789472,0.18963547812242992,Moderate,ssv2
16,8,0.475,0.43125,0.04375,0.04375,0.20777305613852548,Low,ssv2
17,8,0.3625,0.36874999999999997,-0.006249999999999992,-0.006249999999999992,0.1781602408748131,Low,ssv2
18,8,0.35526315789473684,0.3157894736842105,0.039473684210526314,0.039473684210526314,0.0922394296720699,Low,ssv2
19,8,0.5328947368421052,0.39375,0.13914473684210524,0.13914473684210524,0.11801046196570757,Low,ssv2
20,8,0.2986111111111111,0.1875,0.1111111111111111,0.1111111111111111,0.13303538137808565,Low,ssv2
21,8,0.375,0.075,0.3,0.3,0.09258200997725514,Moderate,ssv2
22,8,0.4342105263157895,0.18125000000000002,0.25296052631578947,0.25296052631578947,0.2231968928720391,Moderate,ssv2
