label_id,n_models,mean_acc_s1,mean_acc_s16,mean_rel_drop,mean_abs_drop,std_rel_drop,sensitivity,dataset
0,8,0.9875,0.94375,0.04375000000000001,0.04375000000000001,0.08634441002668987,Moderate,ucf101
1,8,0.89375,0.90625,-0.012499999999999997,-0.012499999999999997,0.03535533905932735,Low,ucf101
2,8,0.88125,0.9,-0.01874999999999999,-0.01874999999999999,0.1032939633141398,Low,ucf101
3,8,0.9875,0.98125,0.0062500000000000056,0.0062500000000000056,0.04172614801981399,Low,ucf101
4,8,0.9562499999999999,0.8875,0.06874999999999998,0.06874999999999998,0.07039429765866792,High,ucf101
5,8,0.9125,0.84375,0.06875000000000002,0.06875000000000002,0.08838834764831847,High,ucf101
6,8,0.8,0.8,1.3877787807814457e-17,1.3877787807814457e-17,0.026726124191242432,Low,ucf101
7,8,0.84375,0.775,0.06874999999999999,0.06874999999999999,0.07529703086538576,High,ucf101
8,8,1.0,0.975,0.02500000000000001,0.02500000000000001,0.03779644730092272,Moderate,ucf101
9,8,1.0,0.95,0.05,0.05,0.14142135623730953,Moderate,ucf101
10,8,0.99375,0.99375,0.0,0.0,0.026726124191242463,Low,ucf101
11,8,1.0,1.0,0.0,0.0,0.0,Low,ucf101
12,8,0.7375,0.6,0.1375,0.1375,0.22320714274285353,High,ucf101
13,8,0.9875,0.91875,0.06874999999999999,0.06874999999999999,0.15338443765351722,High,ucf101
14,8,0.74375,0.5875,0.15625,0.15625,0.19899300059478045,High,ucf101
15,8,0.95,0.93125,0.01874999999999999,0.01874999999999999,0.03720119045714226,Moderate,ucf101
16,8,0.71875,0.6375,0.08125000000000002,0.08125000000000002,0.11630471062809845,High,ucf101
17,8,0.9624999999999999,0.875,0.08749999999999998,0.08749999999999998,0.1274754878398196,High,ucf101
18,8,0.95,0.93125,0.018750000000000017,0.018750000000000017,0.04580626906564521,Moderate,ucf101
19,8,0.525,0.46249999999999997,0.06250000000000001,0.06250000000000001,0.03535533905932737,High,ucf101
20,8,0.8875,0.85,0.03750000000000002,0.03750000000000002,0.09161253813129044,Moderate,ucf101
21,8,0.975,0.91875,0.05625000000000001,0.05625000000000001,0.06781013409302686,Moderate,ucf101
22,8,0.55,0.5,0.05000000000000002,0.05000000000000002,0.10350983390135313,Moderate,ucf101
