resolution,coverage,stride,top1,n
160,10,1,0.061875,1600
160,10,2,0.05875,1600
160,10,4,0.061875,1600
160,10,8,0.058125,1600
160,10,16,0.055625,1600
160,25,1,0.15,1600
160,25,2,0.13375,1600
160,25,4,0.09625,1600
160,25,8,0.075,1600
160,25,16,0.063125,1600
160,50,1,0.48875,1600
160,50,2,0.338125,1600
160,50,4,0.156875,1600
160,50,8,0.098125,1600
160,50,16,0.068125,1600
160,75,1,0.655625,1600
160,75,2,0.48375,1600
160,75,4,0.1975,1600
160,75,8,0.1,1600
160,75,16,0.071875,1600
160,100,1,0.7625,1600
160,100,2,0.5675,1600
160,100,4,0.230625,1600
160,100,8,0.09875,1600
160,100,16,0.075,1600
