resolution,coverage,stride,top1,n
160,10,1,0.06,1600
160,10,2,0.05,1600
160,10,4,0.04375,1600
160,10,8,0.0425,1600
160,10,16,0.0425,1600
160,25,1,0.14875,1600
160,25,2,0.116875,1600
160,25,4,0.066875,1600
160,25,8,0.048125,1600
160,25,16,0.041875,1600
160,50,1,0.33875,1600
160,50,2,0.24875,1600
160,50,4,0.1675,1600
160,50,8,0.090625,1600
160,50,16,0.0575,1600
160,75,1,0.490625,1600
160,75,2,0.3925,1600
160,75,4,0.231875,1600
160,75,8,0.15875,1600
160,75,16,0.096875,1600
160,100,1,0.495625,1600
160,100,2,0.406875,1600
160,100,4,0.285625,1600
160,100,8,0.1825,1600
160,100,16,0.119375,1600
