coverage,stride,top1,n
10,1,0.0108646446355817,4418
10,2,0.0092802172928927,4418
10,4,0.0086011770031688,4418
10,8,0.0095065640561339,4418
10,16,0.0095065640561339,4418
25,1,0.0688094160253508,4418
25,2,0.0556813037573562,4418
25,4,0.0391579900407424,4418
25,8,0.0235400633770937,4418
25,16,0.0151652331371661,4418
50,1,0.4153463105477591,4418
50,2,0.4105930285196921,4418
50,4,0.354232684472612,4418
50,8,0.2007695789950203,4418
50,16,0.0946129470348574,4418
75,1,0.6756450882752376,4418
75,2,0.6688546853779991,4418
75,4,0.6523313716613852,4418
75,8,0.411272068809416,4418
75,16,0.1917157084653689,4418
100,1,0.6903576278859213,4418
100,2,0.6939791760977818,4418
100,4,0.6731552738795835,4418
100,8,0.4581258488003621,4418
100,16,0.1536894522408329,4418
