coverage,stride,accuracy,avg_time,correct,total
10,1,0.7164616688426212,0.029423044240055,31280,43659
25,1,0.790902219473648,0.0292876873629291,34530,43659
50,1,0.9036166655214274,0.0295598578301796,39451,43659
75,1,0.9317437412675508,0.0279962232157172,40679,43659
100,1,0.9464486131152798,0.0288085266461382,41321,43659
10,2,0.7212258640830069,0.0282411662910639,31488,43659
25,2,0.8422776518014613,0.0284048382018527,36773,43659
50,2,0.8394374584850776,0.028453371069861,36649,43659
75,2,0.9300945967612634,0.0296062769265429,40607,43659
100,2,0.944318468127992,0.0292996486262855,41228,43659
10,4,0.716118097070478,0.0283715686663975,31265,43659
25,4,0.7481160814494148,0.0281631105198813,32662,43659
50,4,0.8863006482054101,0.0287331047015291,38695,43659
75,4,0.8641975308641975,0.028924347911513,37730,43659
100,4,0.8641975308641975,0.0284661180075986,37730,43659
10,8,0.5203509013032822,0.02839394780429,22718,43659
25,8,0.7145605717034288,0.0288268348164181,31197,43659
50,8,0.8524244714720906,0.0292078840953468,37216,43659
75,8,0.7922765065622208,0.0289167931350781,34590,43659
100,8,0.9007306626354246,0.0286730159893292,39325,43659
10,16,0.5203509013032822,0.0285595293791443,22718,43659
25,16,0.5203509013032822,0.0288497955211124,22718,43659
50,16,0.6793788222359651,0.0289953437972411,29661,43659
75,16,0.717080098032479,0.0282591808819487,31307,43659
100,16,0.8380631713965048,0.0290342696290426,36589,43659
