resolution,coverage,stride,top1,n
224,10,1,0.0775,1600
224,10,2,0.0675,1600
224,10,4,0.06375,1600
224,10,8,0.063125,1600
224,10,16,0.063125,1600
224,25,1,0.156875,1600
224,25,2,0.130625,1600
224,25,4,0.095,1600
224,25,8,0.070625,1600
224,25,16,0.06375,1600
224,50,1,0.394375,1600
224,50,2,0.360625,1600
224,50,4,0.24625,1600
224,50,8,0.1275,1600
224,50,16,0.078125,1600
224,75,1,0.58875,1600
224,75,2,0.556875,1600
224,75,4,0.371875,1600
224,75,8,0.20125,1600
224,75,16,0.11125,1600
224,100,1,0.656875,1600
224,100,2,0.611875,1600
224,100,4,0.47125,1600
224,100,8,0.265,1600
224,100,16,0.119375,1600
