resolution,coverage,stride,top1,n
224,10,1,0.105625,1600
224,10,2,0.10125,1600
224,10,4,0.084375,1600
224,10,8,0.0725,1600
224,10,16,0.07,1600
224,25,1,0.24375,1600
224,25,2,0.21375,1600
224,25,4,0.180625,1600
224,25,8,0.121875,1600
224,25,16,0.086875,1600
224,50,1,0.529375,1600
224,50,2,0.488125,1600
224,50,4,0.42375,1600
224,50,8,0.314375,1600
224,50,16,0.154375,1600
224,75,1,0.619375,1600
224,75,2,0.625,1600
224,75,4,0.583125,1600
224,75,8,0.479375,1600
224,75,16,0.24,1600
224,100,1,0.664375,1600
224,100,2,0.649375,1600
224,100,4,0.655,1600
224,100,8,0.56,1600
224,100,16,0.303125,1600
