resolution,coverage,stride,top1,n
160,10,1,0.07125,1600
160,10,2,0.055625,1600
160,10,4,0.049375,1600
160,10,8,0.0475,1600
160,10,16,0.0475,1600
160,25,1,0.13,1600
160,25,2,0.135625,1600
160,25,4,0.09,1600
160,25,8,0.059375,1600
160,25,16,0.04875,1600
160,50,1,0.33875,1600
160,50,2,0.366875,1600
160,50,4,0.240625,1600
160,50,8,0.105,1600
160,50,16,0.058125,1600
160,75,1,0.63375,1600
160,75,2,0.595,1600
160,75,4,0.380625,1600
160,75,8,0.16125,1600
160,75,16,0.075625,1600
160,100,1,0.794375,1600
160,100,2,0.736875,1600
160,100,4,0.50375,1600
160,100,8,0.194375,1600
160,100,16,0.09125,1600
