resolution,coverage,stride,top1,n
48,10,1,0.0575,1600
48,10,2,0.0575,1600
48,10,4,0.054375,1600
48,10,8,0.049375,1600
48,10,16,0.04875,1600
48,25,1,0.0875,1600
48,25,2,0.08125,1600
48,25,4,0.076875,1600
48,25,8,0.056875,1600
48,25,16,0.049375,1600
48,50,1,0.15,1600
48,50,2,0.164375,1600
48,50,4,0.15375,1600
48,50,8,0.118125,1600
48,50,16,0.0775,1600
48,75,1,0.2475,1600
48,75,2,0.24375,1600
48,75,4,0.22,1600
48,75,8,0.173125,1600
48,75,16,0.120625,1600
48,100,1,0.293125,1600
48,100,2,0.290625,1600
48,100,4,0.2575,1600
48,100,8,0.185625,1600
48,100,16,0.14,1600
