config,top1,n,mean_distinct,model,dataset,mode,budget
cov100_s1,0.3672316384180791,177,8.0,videomamba,ssv2,covstride,8
cov100_s16,0.2598870056497175,177,3.005649717514124,videomamba,ssv2,covstride,8
cov100_s2,0.3672316384180791,177,7.954802259887006,videomamba,ssv2,covstride,8
cov100_s4,0.3615819209039548,177,6.887005649717514,videomamba,ssv2,covstride,8
cov100_s8,0.3559322033898305,177,5.288135593220339,videomamba,ssv2,covstride,8
cov10_s1,0.02824858757062147,177,4.028248587570621,videomamba,ssv2,covstride,8
cov10_s16,0.022598870056497175,177,1.0,videomamba,ssv2,covstride,8
cov10_s2,0.02824858757062147,177,2.1977401129943503,videomamba,ssv2,covstride,8
cov10_s4,0.02824858757062147,177,1.4406779661016949,videomamba,ssv2,covstride,8
cov10_s8,0.022598870056497175,177,1.0,videomamba,ssv2,covstride,8
cov25_s1,0.05649717514124294,177,6.745762711864407,videomamba,ssv2,covstride,8
cov25_s16,0.03954802259887006,177,1.073446327683616,videomamba,ssv2,covstride,8
cov25_s2,0.06779661016949153,177,5.033898305084746,videomamba,ssv2,covstride,8
cov25_s4,0.05084745762711865,177,2.790960451977401,videomamba,ssv2,covstride,8
cov25_s8,0.05649717514124294,177,1.6723163841807909,videomamba,ssv2,covstride,8
cov50_s1,0.2598870056497175,177,7.954802259887006,videomamba,ssv2,covstride,8
cov50_s16,0.11299435028248588,177,1.694915254237288,videomamba,ssv2,covstride,8
cov50_s2,0.23163841807909605,177,6.824858757062147,videomamba,ssv2,covstride,8
cov50_s4,0.22033898305084745,177,5.186440677966102,videomamba,ssv2,covstride,8
cov50_s8,0.22033898305084745,177,2.9152542372881354,videomamba,ssv2,covstride,8
cov75_s1,0.3615819209039548,177,8.0,videomamba,ssv2,covstride,8
cov75_s16,0.2033898305084746,177,2.225988700564972,videomamba,ssv2,covstride,8
cov75_s2,0.3502824858757062,177,7.6158192090395485,videomamba,ssv2,covstride,8
cov75_s4,0.3446327683615819,177,6.338983050847458,videomamba,ssv2,covstride,8
cov75_s8,0.3446327683615819,177,4.096045197740113,videomamba,ssv2,covstride,8
