duration_bin,n,acc_dense,acc_sparse,aliasing_loss_pp,model,dataset,pearson_r_dur_aliasing,pearson_p
1-3s,142,0.8380281690140845,0.676056338028169,16.19718309859155,r3d_18,ucf101,,
3-6s,788,0.7906091370558376,0.6865482233502538,10.40609137055838,r3d_18,ucf101,,
>6s,1090,0.8247706422018348,0.810091743119266,1.4678899082568808,r3d_18,ucf101,,
1-3s,615,0.3121951219512195,0.0764227642276422,23.577235772357724,r3d_18,ssv2,,
3-6s,2639,0.3853732474422129,0.0939749905267146,29.13982569154983,r3d_18,ssv2,,
1-3s,304,0.7335526315789473,0.3717105263157895,36.18421052631579,r3d_18,hmdb51,,
3-6s,471,0.8280254777070064,0.673036093418259,15.498938428874744,r3d_18,hmdb51,,
>6s,103,0.912621359223301,0.8932038834951457,1.941747572815533,r3d_18,hmdb51,,
1-3s,165,0.3272727272727272,0.0666666666666666,26.060606060606062,r3d_18,diving48,,
3-6s,447,0.2706935123042505,0.1342281879194631,13.646532438478744,r3d_18,diving48,,
>6s,130,0.3,0.1846153846153846,11.538461538461537,r3d_18,diving48,,
1-3s,4120,0.7449029126213592,0.0616504854368932,68.3252427184466,r3d_18,autsl,,
3-6s,295,0.8271186440677966,0.1152542372881356,71.1864406779661,r3d_18,autsl,,
<1s,48,0.6875,0.5625,12.5,r3d_18,driveact,,
1-3s,277,0.6678700361010831,0.4115523465703971,25.631768953068597,r3d_18,driveact,,
3-6s,123,0.7154471544715447,0.4715447154471545,24.390243902439025,r3d_18,driveact,,
<1s,331,0.3806646525679758,0.175226586102719,20.54380664652568,r3d_18,epic_kitchens,,
1-3s,411,0.3309002433090024,0.1922141119221411,13.86861313868613,r3d_18,epic_kitchens,,
3-6s,162,0.3703703703703703,0.345679012345679,2.469135802469136,r3d_18,epic_kitchens,,
>6s,116,0.4913793103448275,0.4827586206896552,0.8620689655172376,r3d_18,epic_kitchens,,
1-3s,142,0.8450704225352113,0.7816901408450704,6.338028169014088,mc3_18,ucf101,,
3-6s,788,0.8210659898477157,0.766497461928934,5.456852791878175,mc3_18,ucf101,,
>6s,1090,0.8788990825688073,0.8733944954128441,0.5504587155963248,mc3_18,ucf101,,
1-3s,615,0.2910569105691057,0.0455284552845528,24.552845528455286,mc3_18,ssv2,,
3-6s,2639,0.3474801061007957,0.0754073512694202,27.207275483137558,mc3_18,ssv2,,
1-3s,304,0.7171052631578947,0.5625,15.460526315789467,mc3_18,hmdb51,,
3-6s,471,0.8110403397027601,0.732484076433121,7.855626326963916,mc3_18,hmdb51,,
>6s,103,0.8932038834951457,0.8932038834951457,0.0,mc3_18,hmdb51,,
1-3s,165,0.3090909090909091,0.1454545454545454,16.363636363636363,mc3_18,diving48,,
3-6s,447,0.3176733780760626,0.192393736017897,12.527964205816556,mc3_18,diving48,,
>6s,130,0.3230769230769231,0.2538461538461538,6.923076923076926,mc3_18,diving48,,
1-3s,4120,0.6296116504854369,0.0723300970873786,55.72815533980582,mc3_18,autsl,,
3-6s,295,0.752542372881356,0.2169491525423728,53.559322033898304,mc3_18,autsl,,
<1s,48,0.7083333333333334,0.6666666666666666,4.166666666666674,mc3_18,driveact,,
1-3s,277,0.6714801444043321,0.5126353790613718,15.884476534296033,mc3_18,driveact,,
3-6s,123,0.7235772357723578,0.5934959349593496,13.008130081300816,mc3_18,driveact,,
<1s,331,0.3141993957703927,0.1722054380664652,14.199395770392748,mc3_18,epic_kitchens,,
1-3s,411,0.3260340632603406,0.2408759124087591,8.515815085158149,mc3_18,epic_kitchens,,
3-6s,162,0.4012345679012346,0.3888888888888889,1.2345679012345678,mc3_18,epic_kitchens,,
>6s,116,0.5689655172413793,0.5344827586206896,3.4482758620689724,mc3_18,epic_kitchens,,
1-3s,142,0.8732394366197183,0.7535211267605634,11.971830985915489,r2plus1d_18,ucf101,,
3-6s,788,0.850253807106599,0.7715736040609137,7.868020304568535,r2plus1d_18,ucf101,,
>6s,1090,0.9128440366972476,0.8899082568807339,2.293577981651373,r2plus1d_18,ucf101,,
1-3s,615,0.3739837398373983,0.0861788617886178,28.78048780487805,r2plus1d_18,ssv2,,
3-6s,2639,0.438423645320197,0.1284577491474043,30.996589617279277,r2plus1d_18,ssv2,,
1-3s,304,0.6677631578947368,0.3552631578947368,31.25,r2plus1d_18,hmdb51,,
3-6s,471,0.7558386411889597,0.6305732484076433,12.526539278131644,r2plus1d_18,hmdb51,,
>6s,103,0.8058252427184466,0.8155339805825242,-0.9708737864077666,r2plus1d_18,hmdb51,,
1-3s,165,0.3515151515151515,0.1212121212121212,23.030303030303028,r2plus1d_18,diving48,,
3-6s,447,0.3646532438478747,0.1476510067114094,21.700223713646533,r2plus1d_18,diving48,,
>6s,130,0.3153846153846154,0.2769230769230769,3.846153846153844,r2plus1d_18,diving48,,
1-3s,4120,0.7514563106796116,0.083252427184466,66.82038834951456,r2plus1d_18,autsl,,
3-6s,295,0.8745762711864407,0.1423728813559322,73.22033898305085,r2plus1d_18,autsl,,
<1s,48,0.6666666666666666,0.4791666666666667,18.749999999999996,r2plus1d_18,driveact,,
1-3s,277,0.6137184115523465,0.3537906137184115,25.992779783393495,r2plus1d_18,driveact,,
3-6s,123,0.6341463414634146,0.3902439024390244,24.390243902439025,r2plus1d_18,driveact,,
<1s,331,0.323262839879154,0.175226586102719,14.8036253776435,r2plus1d_18,epic_kitchens,,
1-3s,411,0.3309002433090024,0.1776155717761557,15.32846715328467,r2plus1d_18,epic_kitchens,,
3-6s,162,0.3518518518518518,0.3333333333333333,1.8518518518518543,r2plus1d_18,epic_kitchens,,
>6s,116,0.5344827586206896,0.5,3.4482758620689613,r2plus1d_18,epic_kitchens,,
1-3s,142,0.8591549295774648,0.5704225352112676,28.873239436619716,slowfast_r50,ucf101,,
3-6s,788,0.8604060913705583,0.6205583756345178,23.984771573604057,slowfast_r50,ucf101,,
>6s,1090,0.8889908256880734,0.8137614678899082,7.522935779816519,slowfast_r50,ucf101,,
1-3s,615,0.448780487804878,0.056910569105691,39.1869918699187,slowfast_r50,ssv2,,
3-6s,2639,0.5054945054945055,0.0670708601743084,43.8423645320197,slowfast_r50,ssv2,,
1-3s,304,0.7138157894736842,0.3289473684210526,38.48684210526315,slowfast_r50,hmdb51,,
3-6s,471,0.8301486199575372,0.386411889596603,44.37367303609342,slowfast_r50,hmdb51,,
>6s,103,0.8737864077669902,0.8543689320388349,1.941747572815533,slowfast_r50,hmdb51,,
1-3s,165,0.5454545454545454,0.0545454545454545,49.090909090909086,slowfast_r50,diving48,,
3-6s,447,0.5167785234899329,0.1140939597315436,40.26845637583893,slowfast_r50,diving48,,
>6s,130,0.4076923076923077,0.1461538461538461,26.15384615384615,slowfast_r50,diving48,,
1-3s,4120,0.8182038834951456,0.0449029126213592,77.33009708737863,slowfast_r50,autsl,,
3-6s,295,0.888135593220339,0.0745762711864406,81.35593220338983,slowfast_r50,autsl,,
<1s,48,0.7291666666666666,0.4791666666666667,24.999999999999996,slowfast_r50,driveact,,
1-3s,277,0.6859205776173285,0.335740072202166,35.018050541516246,slowfast_r50,driveact,,
3-6s,123,0.8130081300813008,0.4715447154471545,34.14634146341463,slowfast_r50,driveact,,
<1s,331,0.3867069486404834,0.1903323262839879,19.637462235649547,slowfast_r50,epic_kitchens,,
1-3s,411,0.364963503649635,0.1386861313868613,22.62773722627737,slowfast_r50,epic_kitchens,,
3-6s,162,0.4444444444444444,0.228395061728395,21.604938271604937,slowfast_r50,epic_kitchens,,
>6s,116,0.4482758620689655,0.4827586206896552,-3.448275862068967,slowfast_r50,epic_kitchens,,
1-3s,142,0.8802816901408451,0.8873239436619719,-0.7042253521126751,timesformer,ucf101,,
3-6s,788,0.8934010152284264,0.8845177664974619,0.8883248730964466,timesformer,ucf101,,
>6s,1090,0.926605504587156,0.9321100917431192,-0.5504587155963359,timesformer,ucf101,,
