model,resolution,mean_ms,std_ms,gpu,backend,n_frames
r3d_18,48,0.614,0.021,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,96,0.892,0.012,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,112,1.202,0.014,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,160,1.759,0.012,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r3d_18,224,2.782,0.035,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,48,0.608,0.016,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,96,0.846,0.006,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,112,1.175,0.025,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,160,1.836,0.008,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
mc3_18,224,3.15,0.056,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,48,1.391,0.109,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,96,2.206,0.013,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,112,2.54,0.011,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,160,4.1,0.018,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
r2plus1d_18,224,5.766,0.043,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,torchvision,16
slowfast_r50,48,3.092,0.109,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,96,3.106,0.079,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,112,3.11,0.051,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,160,3.133,0.143,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
slowfast_r50,224,4.095,0.03,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,slowfast,32
timesformer,48,3.246,0.18,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,96,3.237,0.173,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,112,3.201,0.098,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,160,3.198,0.096,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
timesformer,224,4.3,0.068,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,8
vivit,48,1.547,0.106,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,96,1.766,0.043,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,112,1.99,0.044,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,160,3.188,0.071,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
vivit,224,6.347,0.068,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,32
videomae,48,1.567,0.062,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,96,1.79,0.065,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,112,1.775,0.057,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,160,1.92,0.099,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomae,224,2.815,0.049,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,huggingface,16
videomamba,48,8.058,0.239,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,96,8.149,0.24,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,112,8.18,0.176,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,160,10.028,0.071,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
videomamba,224,15.439,0.06,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,videomamba,8
