method,avg_frames,accuracy,type,vs_fixed,budget_dist,model,dataset,eval_dir
Fixed-4f,4.0,0.08823529411764706,fixed,,,R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Fixed-8f,8.0,0.12895927601809956,fixed,,,R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Fixed-16f,16.0,0.21040723981900453,fixed,,,R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Fixed-32f,32.0,0.19909502262443438,fixed,,,R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-proxy@avg8f,8.0,0.10471204188481675,knapsack_proxy,-0.024247234133282808,"{'4': 264, '8': 48, '16': 39, '32': 31}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-learned@avg8f,8.0,0.15584415584415584,knapsack_learned,0.02688487982605628,"{'4': 50, '8': 2, '16': 25, '32': 0}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Oracle-knapsack@avg8f,8.0,0.16883116883116883,oracle_knapsack,0.03987189281306927,"{'4': 60, '8': 7, '16': 0, '32': 10}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-proxy@avg10f,10.0,0.12303664921465969,knapsack_proxy,-0.0059226268034398705,"{'4': 217, '8': 61, '16': 54, '32': 50}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-learned@avg10f,9.974025974025974,0.18181818181818182,knapsack_learned,0.05285890580008226,"{'4': 38, '8': 1, '16': 38, '32': 0}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Oracle-knapsack@avg10f,9.974025974025974,0.18181818181818182,oracle_knapsack,0.05285890580008226,"{'4': 54, '8': 7, '16': 1, '32': 15}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-proxy@avg12f,12.0,0.1387434554973822,knapsack_proxy,0.009784179479282645,"{'4': 182, '8': 70, '16': 54, '32': 76}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-learned@avg12f,12.0,0.22077922077922077,knapsack_learned,0.09181994476112121,"{'4': 23, '8': 4, '16': 50, '32': 0}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Oracle-knapsack@avg12f,12.0,0.18181818181818182,oracle_knapsack,0.05285890580008226,"{'4': 49, '8': 7, '16': 0, '32': 21}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-proxy@avg14f,14.0,0.1518324607329843,knapsack_proxy,-0.05857477908602024,"{'4': 141, '8': 86, '16': 54, '32': 101}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-learned@avg14f,13.974025974025974,0.23376623376623376,knapsack_learned,0.023358993947229234,"{'4': 11, '8': 3, '16': 63, '32': 0}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Oracle-knapsack@avg14f,13.974025974025974,0.19480519480519481,oracle_knapsack,-0.015602045013809712,"{'4': 43, '8': 7, '16': 1, '32': 26}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-proxy@avg16f,16.0,0.16230366492146597,knapsack_proxy,-0.048103574897538554,"{'4': 100, '8': 96, '16': 63, '32': 123}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Knapsack-learned@avg16f,16.0,0.23376623376623376,knapsack_learned,0.023358993947229234,"{'4': 0, '8': 4, '16': 71, '32': 2}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
Oracle-knapsack@avg16f,16.0,0.2077922077922078,oracle_knapsack,-0.002615032026796721,"{'4': 38, '8': 7, '16': 0, '32': 32}",R2plus1D-18,WLASL100,r2plus1d_18_wlasl100_full_e10_a100
