coverage,stride,top1,n
10,1,0.2633928571428571,448
10,2,0.2589285714285714,448
10,4,0.2410714285714285,448
10,8,0.234375,448
10,16,0.234375,448
25,1,0.3683035714285714,448
25,2,0.3348214285714285,448
25,4,0.2678571428571428,448
25,8,0.2522321428571428,448
25,16,0.234375,448
50,1,0.4977678571428571,448
50,2,0.4821428571428571,448
50,4,0.359375,448
50,8,0.2879464285714285,448
50,16,0.2678571428571428,448
75,1,0.5848214285714286,448
75,2,0.5669642857142857,448
75,4,0.4709821428571428,448
75,8,0.3504464285714285,448
75,16,0.2700892857142857,448
100,1,0.6428571428571429,448
100,2,0.625,448
100,4,0.5424107142857143,448
100,8,0.3794642857142857,448
100,16,0.2700892857142857,448
