Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.05515276250000001,-3.983593161700214,7.411243417321183e-05,***,-0.28203533860187485
10% vs 50%,-0.15618974250000017,-11.71497209208876,2.5642895078760757e-29,***,-0.8294110333530125
10% vs 75%,-0.1646760450000001,-12.30997088438417,5.828220498547526e-32,***,-0.8715364912100392
10% vs 100%,-0.1581692950000001,-11.691357549330773,3.120834280464131e-29,***,-0.8277391418489527
25% vs 50%,-0.10103698000000016,-7.8419604235678975,1.431830310713027e-14,***,-0.5552047796014157
25% vs 75%,-0.1095232825000001,-8.470039416705182,1.1828806741418685e-16,***,-0.5996722902903323
25% vs 100%,-0.10301653250000009,-7.871596903723903,1.1439742510538224e-14,***,-0.5573030196516621
50% vs 75%,-0.008486302499999931,-0.6854632500859621,0.4932507259356129,ns,-0.04853027204078844
50% vs 100%,-0.001979552499999926,-0.15781241797559695,0.8746445810791983,ns,-0.011172998078029538
75% vs 100%,0.006506750000000006,0.5167579514789509,0.605468410429784,ns,0.03658606637389974
