coverage,stride,accuracy,avg_time,correct,total
10,1,0.582138,0.000000,11524,19796
25,1,0.644474,0.000000,12758,19796
50,1,0.709285,0.000000,14041,19796
75,1,0.733431,0.000000,14519,19796
100,1,0.739291,0.000000,14635,19796
10,2,0.580723,0.000000,11496,19796
25,2,0.643817,0.000000,12745,19796
50,2,0.707820,0.000000,14012,19796
75,2,0.733633,0.000000,14523,19796
50,4,0.707769,0.000000,14011,19796
75,4,0.732976,0.000000,14510,19796
100,4,0.741867,0.000000,14686,19796
10,8,0.541928,0.000000,10728,19796
25,8,0.639372,0.000000,12657,19796
50,8,0.705243,0.000000,13961,19796
75,8,0.732875,0.000000,14508,19796
100,8,0.741412,0.000000,14677,19796
10,16,0.523995,0.000000,10373,19796
25,16,0.601839,0.000000,11914,19796
50,16,0.699333,0.000000,13844,19796
75,16,0.731764,0.000000,14486,19796
100,16,0.738230,0.000000,14614,19796
100,2,0.739745,0.000000,14644,19796
10,4,0.577591,0.000000,11434,19796
25,4,0.641140,0.000000,12692,19796
