Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.09755571749999992,-6.994163391469719,5.667738437394022e-12,***,-0.49518140037876895
10% vs 50%,-0.16327403500000004,-11.954321926983594,2.1928470535301555e-30,***,-0.8463568179722569
10% vs 75%,-0.19094601,-14.000909567194379,6.213824827217764e-40,***,-0.9912536522260103
10% vs 100%,-0.19950102999999986,-14.752564353508479,1.2071740931270109e-43,***,-1.044470234232426
25% vs 50%,-0.06571831750000012,-4.994265349186929,7.260817871476848e-07,***,-0.3535901538259412
25% vs 75%,-0.09339029250000008,-7.108437764453088,2.611890128406818e-12,***,-0.5032719382850359
25% vs 100%,-0.10194531249999994,-7.830766960021622,1.5513356070433194e-14,***,-0.5544122909728695
50% vs 75%,-0.02767197499999996,-2.1568774591058153,0.031313216439631975,ns,-0.15270526878854984
50% vs 100%,-0.03622699499999982,-2.850866793621594,0.00447256368088374,***,-0.20183918106354462
75% vs 100%,-0.008555019999999858,-0.6743768814400856,0.5002671196086863,ns,-0.04774536564899957
